"MUNICIPIO";"ANO";"MES";"CASOS"
"ABREU E LIMA";2010;1;0
"ABREU E LIMA";2010;2;0
"ABREU E LIMA";2010;3;3
"ABREU E LIMA";2010;4;0
"ABREU E LIMA";2010;5;1
"ABREU E LIMA";2010;6;24
"ABREU E LIMA";2010;7;4
"ABREU E LIMA";2010;8;42
"ABREU E LIMA";2010;9;11
"ABREU E LIMA";2010;10;26
"ABREU E LIMA";2010;11;24
"ABREU E LIMA";2010;12;10
"AFOGADOS DA INGAZEIRA";2010;1;0
"AFOGADOS DA INGAZEIRA";2010;2;1
"AFOGADOS DA INGAZEIRA";2010;3;3
"AFOGADOS DA INGAZEIRA";2010;4;14
"AFOGADOS DA INGAZEIRA";2010;5;56
"AFOGADOS DA INGAZEIRA";2010;6;49
"AFOGADOS DA INGAZEIRA";2010;7;7
"AFOGADOS DA INGAZEIRA";2010;8;7
"AFOGADOS DA INGAZEIRA";2010;9;2
"AFOGADOS DA INGAZEIRA";2010;10;7
"AFOGADOS DA INGAZEIRA";2010;11;15
"AFOGADOS DA INGAZEIRA";2010;12;17
"AFRANIO";2010;1;10
"AFRANIO";2010;2;5
"AFRANIO";2010;3;12
"AFRANIO";2010;4;6
"AFRANIO";2010;5;0
"AFRANIO";2010;6;1
"AFRANIO";2010;7;0
"AFRANIO";2010;8;0
"AFRANIO";2010;9;0
"AFRANIO";2010;10;0
"AFRANIO";2010;11;0
"AFRANIO";2010;12;0
"AGRESTINA";2010;1;0
"AGRESTINA";2010;2;1
"AGRESTINA";2010;3;4
"AGRESTINA";2010;4;1
"AGRESTINA";2010;5;0
"AGRESTINA";2010;6;0
"AGRESTINA";2010;7;0
"AGRESTINA";2010;8;0
"AGRESTINA";2010;9;0
"AGRESTINA";2010;10;1
"AGRESTINA";2010;11;0
"AGRESTINA";2010;12;0
"AGUA PRETA";2010;1;0
"AGUA PRETA";2010;2;0
"AGUA PRETA";2010;3;1
"AGUA PRETA";2010;4;16
"AGUA PRETA";2010;5;4
"AGUA PRETA";2010;6;1
"AGUA PRETA";2010;7;4
"AGUA PRETA";2010;8;6
"AGUA PRETA";2010;9;4
"AGUA PRETA";2010;10;3
"AGUA PRETA";2010;11;2
"AGUA PRETA";2010;12;5
"AGUAS BELAS";2010;1;0
"AGUAS BELAS";2010;2;0
"AGUAS BELAS";2010;3;2
"AGUAS BELAS";2010;4;0
"AGUAS BELAS";2010;5;3
"AGUAS BELAS";2010;6;0
"AGUAS BELAS";2010;7;0
"AGUAS BELAS";2010;8;0
"AGUAS BELAS";2010;9;0
"AGUAS BELAS";2010;10;0
"AGUAS BELAS";2010;11;0
"AGUAS BELAS";2010;12;0
"ALAGOINHA";2010;1;0
"ALAGOINHA";2010;2;0
"ALAGOINHA";2010;3;0
"ALAGOINHA";2010;4;0
"ALAGOINHA";2010;5;0
"ALAGOINHA";2010;6;0
"ALAGOINHA";2010;7;0
"ALAGOINHA";2010;8;2
"ALAGOINHA";2010;9;1
"ALAGOINHA";2010;10;2
"ALAGOINHA";2010;11;4
"ALAGOINHA";2010;12;1
"ALIANCA";2010;1;0
"ALIANCA";2010;2;0
"ALIANCA";2010;3;0
"ALIANCA";2010;4;0
"ALIANCA";2010;5;1
"ALIANCA";2010;6;0
"ALIANCA";2010;7;0
"ALIANCA";2010;8;0
"ALIANCA";2010;9;0
"ALIANCA";2010;10;0
"ALIANCA";2010;11;1
"ALIANCA";2010;12;1
"ALTINHO";2010;1;3
"ALTINHO";2010;2;1
"ALTINHO";2010;3;19
"ALTINHO";2010;4;33
"ALTINHO";2010;5;103
"ALTINHO";2010;6;27
"ALTINHO";2010;7;23
"ALTINHO";2010;8;10
"ALTINHO";2010;9;0
"ALTINHO";2010;10;2
"ALTINHO";2010;11;1
"ALTINHO";2010;12;1
"AMARAJI";2010;1;0
"AMARAJI";2010;2;0
"AMARAJI";2010;3;68
"AMARAJI";2010;4;34
"AMARAJI";2010;5;25
"AMARAJI";2010;6;15
"AMARAJI";2010;7;1
"AMARAJI";2010;8;0
"AMARAJI";2010;9;0
"AMARAJI";2010;10;1
"AMARAJI";2010;11;1
"AMARAJI";2010;12;0
"ANGELIM";2010;1;0
"ANGELIM";2010;2;0
"ANGELIM";2010;3;1
"ANGELIM";2010;4;1
"ANGELIM";2010;5;0
"ANGELIM";2010;6;1
"ANGELIM";2010;7;0
"ANGELIM";2010;8;0
"ANGELIM";2010;9;0
"ANGELIM";2010;10;0
"ANGELIM";2010;11;1
"ANGELIM";2010;12;0
"ARACOIABA";2010;1;0
"ARACOIABA";2010;2;0
"ARACOIABA";2010;3;0
"ARACOIABA";2010;4;4
"ARACOIABA";2010;5;0
"ARACOIABA";2010;6;2
"ARACOIABA";2010;7;1
"ARACOIABA";2010;8;0
"ARACOIABA";2010;9;0
"ARACOIABA";2010;10;0
"ARACOIABA";2010;11;0
"ARACOIABA";2010;12;0
"ARARIPINA";2010;1;2
"ARARIPINA";2010;2;8
"ARARIPINA";2010;3;6
"ARARIPINA";2010;4;3
"ARARIPINA";2010;5;10
"ARARIPINA";2010;6;0
"ARARIPINA";2010;7;5
"ARARIPINA";2010;8;1
"ARARIPINA";2010;9;1
"ARARIPINA";2010;10;0
"ARARIPINA";2010;11;2
"ARARIPINA";2010;12;0
"ARCOVERDE";2010;1;3
"ARCOVERDE";2010;2;0
"ARCOVERDE";2010;3;15
"ARCOVERDE";2010;4;43
"ARCOVERDE";2010;5;45
"ARCOVERDE";2010;6;47
"ARCOVERDE";2010;7;20
"ARCOVERDE";2010;8;10
"ARCOVERDE";2010;9;1
"ARCOVERDE";2010;10;2
"ARCOVERDE";2010;11;5
"ARCOVERDE";2010;12;8
"BARRA DE GUABIRABA";2010;1;0
"BARRA DE GUABIRABA";2010;2;0
"BARRA DE GUABIRABA";2010;3;0
"BARRA DE GUABIRABA";2010;4;0
"BARRA DE GUABIRABA";2010;5;2
"BARRA DE GUABIRABA";2010;6;1
"BARRA DE GUABIRABA";2010;7;0
"BARRA DE GUABIRABA";2010;8;1
"BARRA DE GUABIRABA";2010;9;0
"BARRA DE GUABIRABA";2010;10;0
"BARRA DE GUABIRABA";2010;11;0
"BARRA DE GUABIRABA";2010;12;0
"BARREIROS";2010;1;0
"BARREIROS";2010;2;1
"BARREIROS";2010;3;5
"BARREIROS";2010;4;18
"BARREIROS";2010;5;87
"BARREIROS";2010;6;30
"BARREIROS";2010;7;9
"BARREIROS";2010;8;9
"BARREIROS";2010;9;1
"BARREIROS";2010;10;4
"BARREIROS";2010;11;2
"BARREIROS";2010;12;0
"BELEM DE MARIA";2010;1;0
"BELEM DE MARIA";2010;2;0
"BELEM DE MARIA";2010;3;1
"BELEM DE MARIA";2010;4;1
"BELEM DE MARIA";2010;5;0
"BELEM DE MARIA";2010;6;0
"BELEM DE MARIA";2010;7;0
"BELEM DE MARIA";2010;8;0
"BELEM DE MARIA";2010;9;0
"BELEM DE MARIA";2010;10;0
"BELEM DE MARIA";2010;11;0
"BELEM DE MARIA";2010;12;0
"BELEM DO SAO FRANCISCO";2010;1;0
"BELEM DO SAO FRANCISCO";2010;2;0
"BELEM DO SAO FRANCISCO";2010;3;3
"BELEM DO SAO FRANCISCO";2010;4;9
"BELEM DO SAO FRANCISCO";2010;5;8
"BELEM DO SAO FRANCISCO";2010;6;1
