"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"260005 Abreu e Lima";16;38;113;53;4;4;2;-;-;-;1;1;232
"260010 Afogados da Ingazeira";102;524;622;541;129;49;30;9;1;1;-;2;2010
"260020 Afrânio";-;1;-;5;5;-;-;-;-;-;-;-;11
"260030 Agrestina";-;4;2;9;5;1;1;-;3;-;-;-;25
"260040 Água Preta";-;-;-;2;2;4;-;1;-;2;2;-;13
"260050 Águas Belas";1;1;8;14;3;3;-;-;1;-;-;-;31
"260060 Alagoinha";1;-;6;16;8;5;3;-;-;-;-;-;39
"260070 Aliança";-;9;35;36;8;-;1;-;-;-;-;-;89
"260080 Altinho";5;11;43;113;60;11;1;-;-;-;-;-;244
"260090 Amaraji";-;1;-;3;-;-;-;-;-;-;-;-;4
"260100 Angelim";-;-;-;-;1;2;2;-;-;-;-;-;5
"260105 Araçoiaba";-;1;1;2;-;-;-;-;-;-;-;-;4
"260110 Araripina";39;50;38;17;2;2;-;1;1;-;-;6;156
"260120 Arcoverde";13;27;42;11;4;2;-;-;-;2;2;1;104
"260130 Barra de Guabiraba";-;-;2;-;-;-;-;-;-;-;-;-;2
"260140 Barreiros";-;-;-;-;-;1;-;-;-;-;-;-;1
"260150 Belém de Maria";-;-;-;-;1;1;-;-;-;-;-;-;2
"260160 Belém do São Francisco";-;-;2;-;-;-;-;-;-;1;-;-;3
"260170 Belo Jardim";-;-;2;5;1;-;-;-;-;-;-;-;8
"260180 Betânia";1;-;-;7;-;4;2;-;-;-;-;-;14
"260190 Bezerros";2;14;48;24;3;-;1;-;1;-;-;3;96
"260200 Bodocó";24;7;4;1;1;1;-;-;-;-;-;2;40
"260210 Bom Conselho";-;-;1;14;14;7;1;-;-;-;-;-;37
"260220 Bom Jardim";2;13;77;32;3;1;-;-;-;-;-;-;128
"260230 Bonito";2;1;2;3;2;-;2;1;-;-;-;-;13
"260240 Brejão";1;-;1;1;5;-;-;-;-;-;-;-;8
"260250 Brejinho";-;-;6;14;4;-;-;-;-;-;-;-;24
"260260 Brejo da Madre de Deus";1;9;22;26;20;8;1;-;-;-;-;-;87
"260270 Buenos Aires";-;2;3;1;1;-;-;-;-;-;-;1;8
"260280 Buíque";-;5;1;5;3;3;-;-;-;1;-;1;19
"260290 Cabo de Santo Agostinho";30;67;350;286;214;110;152;43;15;2;2;9;1280
"260300 Cabrobó";-;-;-;1;1;-;-;-;-;2;1;-;5
"260310 Cachoeirinha";-;-;5;3;1;-;-;-;-;-;-;-;9
"260320 Caetés";-;-;-;-;-;-;2;-;-;-;-;-;2
"260330 Calçado";-;-;3;30;31;9;-;1;-;-;1;-;75
"260340 Calumbi";-;-;7;2;-;-;1;-;-;-;-;-;10
"260345 Camaragibe";54;60;18;6;6;1;1;-;-;-;-;10;156
"260350 Camocim de São Félix";-;-;-;2;-;-;-;-;-;-;-;-;2
"260370 Canhotinho";-;-;-;-;7;5;2;1;-;-;-;-;15
"260380 Capoeiras";-;-;-;2;4;2;1;-;-;-;-;-;9
"260390 Carnaíba";1;20;48;34;9;-;-;-;-;1;-;-;113
"260392 Carnaubeira da Penha";-;-;-;1;-;-;-;-;-;-;-;-;1
"260400 Carpina";130;61;44;25;11;4;3;3;2;-;-;10;293
"260410 Caruaru";19;54;62;64;24;12;10;4;4;3;1;2;259
"260415 Casinhas";2;3;10;13;9;-;-;-;-;-;-;-;37
"260430 Cedro";3;2;7;38;21;5;-;-;-;-;-;-;76
"260440 Chã de Alegria";1;-;-;-;-;-;-;-;-;-;-;-;1
"260450 Chã Grande";-;4;3;6;12;2;1;-;-;-;-;-;28
"260460 Condado";18;67;109;56;22;12;3;-;-;-;2;4;293
"260470 Correntes";-;-;-;-;5;5;1;4;-;-;-;-;15
"260480 Cortês";-;-;-;-;4;-;-;-;-;-;-;-;4
"260490 Cumaru";6;11;9;5;8;3;-;-;-;-;1;-;43
"260500 Cupira";-;1;2;4;-;-;-;-;-;-;-;-;7
"260510 Custódia";5;5;6;5;1;-;-;-;-;-;-;-;22
"260515 Dormentes";4;8;5;5;-;-;-;-;-;-;-;-;22
"260520 Escada";-;-;-;-;4;1;-;-;-;-;-;-;5
"260530 Exu";270;120;20;5;1;-;-;-;-;-;1;18;435
"260540 Feira Nova";16;-;-;-;-;-;-;-;-;-;-;3;19
"260545 Fernando de Noronha";1;-;15;40;39;12;5;-;-;-;-;-;112
"260560 Flores";-;-;16;12;-;-;-;-;-;-;-;-;28
"260570 Floresta";1;-;8;23;11;3;1;-;-;-;-;-;47
"260580 Frei Miguelinho";3;-;-;-;-;-;-;-;-;-;-;2;5
"260590 Gameleira";-;-;-;-;1;-;-;-;-;-;-;-;1
"260600 Garanhuns";3;10;46;138;166;69;99;49;7;9;10;-;606
"260610 Glória do Goitá";55;39;30;10;5;7;6;3;5;5;5;5;175
"260620 Goiana";-;2;31;56;13;-;4;1;1;2;-;-;110
"260640 Gravatá";2;18;39;82;43;14;3;1;2;1;1;1;207
"260650 Iati";-;-;2;7;3;1;1;-;-;-;-;-;14
"260660 Ibimirim";-;2;3;14;-;-;-;-;-;-;-;-;19
"260670 Ibirajuba";-;-;1;-;-;-;-;-;-;-;-;-;1
"260680 Igarassu";17;26;87;170;135;56;34;11;7;19;4;3;569
"260690 Iguaracy";-;5;12;5;2;1;-;-;-;-;-;-;25
"260760 Ilha de Itamaracá";2;1;1;3;1;1;5;1;-;-;-;-;15
"260700 Inajá";-;1;7;5;8;1;1;-;1;-;-;-;24
"260710 Ingazeira";-;-;12;12;-;-;-;-;-;-;-;-;24
"260720 Ipojuca";19;50;156;161;113;85;42;28;15;16;9;14;708
"260730 Ipubi";3;-;1;-;1;-;-;-;-;-;-;-;5
"260740 Itacuruba";1;-;1;1;3;-;-;-;-;-;-;-;6
"260750 Itaíba";-;29;10;1;-;-;-;-;-;-;-;-;40
"260765 Itambé";22;58;28;18;7;1;-;-;-;-;1;6;141
"260770 Itapetim";-;1;37;27;11;-;-;-;-;-;-;-;76
"260775 Itapissuma";-;2;4;-;-;-;-;-;1;-;-;-;7
