,Estacao,Data,Precipitacao,Date,year,month,day,long,lat
1,RECIFE,01/01/2000,4.2,2000-01-01,2000,1,1,-34.95,-8.05
3,RECIFE,02/01/2000,3.1,2000-01-02,2000,1,2,-34.95,-8.05
5,RECIFE,03/01/2000,3.4,2000-01-03,2000,1,3,-34.95,-8.05
7,RECIFE,04/01/2000,16.2,2000-01-04,2000,1,4,-34.95,-8.05
9,RECIFE,05/01/2000,13.1,2000-01-05,2000,1,5,-34.95,-8.05
11,RECIFE,06/01/2000,27.3,2000-01-06,2000,1,6,-34.95,-8.05
13,RECIFE,07/01/2000,117.0,2000-01-07,2000,1,7,-34.95,-8.05
15,RECIFE,08/01/2000,25.2,2000-01-08,2000,1,8,-34.95,-8.05
17,RECIFE,09/01/2000,24.8,2000-01-09,2000,1,9,-34.95,-8.05
19,RECIFE,10/01/2000,4.6,2000-01-10,2000,1,10,-34.95,-8.05
21,RECIFE,11/01/2000,0.0,2000-01-11,2000,1,11,-34.95,-8.05
23,RECIFE,12/01/2000,0.3,2000-01-12,2000,1,12,-34.95,-8.05
25,RECIFE,13/01/2000,0.0,2000-01-13,2000,1,13,-34.95,-8.05
27,RECIFE,14/01/2000,2.4,2000-01-14,2000,1,14,-34.95,-8.05
29,RECIFE,15/01/2000,11.3,2000-01-15,2000,1,15,-34.95,-8.05
31,RECIFE,16/01/2000,0.0,2000-01-16,2000,1,16,-34.95,-8.05
33,RECIFE,17/01/2000,0.0,2000-01-17,2000,1,17,-34.95,-8.05
35,RECIFE,18/01/2000,12.5,2000-01-18,2000,1,18,-34.95,-8.05
37,RECIFE,19/01/2000,1.4,2000-01-19,2000,1,19,-34.95,-8.05
39,RECIFE,20/01/2000,0.0,2000-01-20,2000,1,20,-34.95,-8.05
41,RECIFE,21/01/2000,0.0,2000-01-21,2000,1,21,-34.95,-8.05
43,RECIFE,22/01/2000,0.0,2000-01-22,2000,1,22,-34.95,-8.05
45,RECIFE,23/01/2000,0.0,2000-01-23,2000,1,23,-34.95,-8.05
47,RECIFE,24/01/2000,0.0,2000-01-24,2000,1,24,-34.95,-8.05
49,RECIFE,25/01/2000,0.0,2000-01-25,2000,1,25,-34.95,-8.05
51,RECIFE,26/01/2000,4.3,2000-01-26,2000,1,26,-34.95,-8.05
53,RECIFE,27/01/2000,0.0,2000-01-27,2000,1,27,-34.95,-8.05
55,RECIFE,28/01/2000,0.0,2000-01-28,2000,1,28,-34.95,-8.05
57,RECIFE,29/01/2000,0.0,2000-01-29,2000,1,29,-34.95,-8.05
59,RECIFE,30/01/2000,0.0,2000-01-30,2000,1,30,-34.95,-8.05
61,RECIFE,31/01/2000,5.3,2000-01-31,2000,1,31,-34.95,-8.05
63,RECIFE,01/02/2000,7.7,2000-02-01,2000,2,1,-34.95,-8.05
65,RECIFE,02/02/2000,0.0,2000-02-02,2000,2,2,-34.95,-8.05
67,RECIFE,03/02/2000,0.0,2000-02-03,2000,2,3,-34.95,-8.05
69,RECIFE,04/02/2000,0.0,2000-02-04,2000,2,4,-34.95,-8.05
71,RECIFE,05/02/2000,0.0,2000-02-05,2000,2,5,-34.95,-8.05
73,RECIFE,06/02/2000,0.0,2000-02-06,2000,2,6,-34.95,-8.05
75,RECIFE,07/02/2000,1.0,2000-02-07,2000,2,7,-34.95,-8.05
77,RECIFE,08/02/2000,15.3,2000-02-08,2000,2,8,-34.95,-8.05
79,RECIFE,09/02/2000,0.0,2000-02-09,2000,2,9,-34.95,-8.05
81,RECIFE,10/02/2000,0.4,2000-02-10,2000,2,10,-34.95,-8.05
83,RECIFE,11/02/2000,0.0,2000-02-11,2000,2,11,-34.95,-8.05
85,RECIFE,12/02/2000,0.0,2000-02-12,2000,2,12,-34.95,-8.05
87,RECIFE,13/02/2000,0.0,2000-02-13,2000,2,13,-34.95,-8.05
89,RECIFE,14/02/2000,7.0,2000-02-14,2000,2,14,-34.95,-8.05
91,RECIFE,15/02/2000,0.0,2000-02-15,2000,2,15,-34.95,-8.05
93,RECIFE,16/02/2000,6.0,2000-02-16,2000,2,16,-34.95,-8.05
95,RECIFE,17/02/2000,9.0,2000-02-17,2000,2,17,-34.95,-8.05
97,RECIFE,18/02/2000,0.0,2000-02-18,2000,2,18,-34.95,-8.05
99,RECIFE,19/02/2000,0.0,2000-02-19,2000,2,19,-34.95,-8.05
101,RECIFE,20/02/2000,0.6,2000-02-20,2000,2,20,-34.95,-8.05
103,RECIFE,21/02/2000,1.1,2000-02-21,2000,2,21,-34.95,-8.05
105,RECIFE,22/02/2000,12.2,2000-02-22,2000,2,22,-34.95,-8.05
107,RECIFE,23/02/2000,6.2,2000-02-23,2000,2,23,-34.95,-8.05
109,RECIFE,24/02/2000,12.1,2000-02-24,2000,2,24,-34.95,-8.05
111,RECIFE,25/02/2000,0.0,2000-02-25,2000,2,25,-34.95,-8.05
