,Estacao,year,month,Precipitacao,long,lat
0,ARCOVERDE,2000,1,43.3,-37.08,-8.41
1,ARCOVERDE,2000,2,83.5,-37.08,-8.41
2,ARCOVERDE,2000,3,70.2,-37.08,-8.41
3,ARCOVERDE,2000,4,135.9,-37.08,-8.41
4,ARCOVERDE,2000,5,27.599999999999998,-37.08,-8.41
5,ARCOVERDE,2000,6,110.80000000000003,-37.08,-8.41
6,ARCOVERDE,2000,7,75.30000000000001,-37.08,-8.41
7,ARCOVERDE,2000,8,86.8,-37.08,-8.41
8,ARCOVERDE,2000,9,32.300000000000004,-37.08,-8.41
9,ARCOVERDE,2000,10,17.2,-37.08,-8.41
10,ARCOVERDE,2000,11,30.6,-37.08,-8.41
11,ARCOVERDE,2000,12,136.7,-37.08,-8.41
12,ARCOVERDE,2001,1,10.3,-37.08,-8.41
13,ARCOVERDE,2001,2,16.3,-37.08,-8.41
14,ARCOVERDE,2001,3,130.1,-37.08,-8.41
15,ARCOVERDE,2001,4,64.4,-37.08,-8.41
16,ARCOVERDE,2001,5,0.7999999999999999,-37.08,-8.41
17,ARCOVERDE,2001,6,169.0,-37.08,-8.41
18,ARCOVERDE,2001,7,109.9,-37.08,-8.41
19,ARCOVERDE,2001,8,62.50000000000001,-37.08,-8.41
20,ARCOVERDE,2001,9,1.4,-37.08,-8.41
21,ARCOVERDE,2001,10,78.1,-37.08,-8.41
22,ARCOVERDE,2001,11,6.7,-37.08,-8.41
23,ARCOVERDE,2001,12,2.6,-37.08,-8.41
24,ARCOVERDE,2002,1,154.1,-37.08,-8.41
25,ARCOVERDE,2002,2,18.0,-37.08,-8.41
26,ARCOVERDE,2002,3,71.5,-37.08,-8.41
27,ARCOVERDE,2002,4,34.6,-37.08,-8.41
28,ARCOVERDE,2002,5,22.500000000000004,-37.08,-8.41
29,ARCOVERDE,2002,6,88.8,-37.08,-8.41
30,ARCOVERDE,2002,7,39.199999999999996,-37.08,-8.41
31,ARCOVERDE,2002,8,35.7,-37.08,-8.41
32,ARCOVERDE,2002,9,4.3,-37.08,-8.41
33,ARCOVERDE,2002,10,6.8999999999999995,-37.08,-8.41
34,ARCOVERDE,2002,11,0.7,-37.08,-8.41
35,ARCOVERDE,2002,12,49.7,-37.08,-8.41
36,ARCOVERDE,2003,1,28.200000000000003,-37.08,-8.41
37,ARCOVERDE,2003,2,28.2,-37.08,-8.41
38,ARCOVERDE,2003,3,36.3,-37.08,-8.41
39,ARCOVERDE,2003,4,89.9,-37.08,-8.41
40,ARCOVERDE,2003,5,67.4,-37.08,-8.41
41,ARCOVERDE,2003,6,34.6,-37.08,-8.41
42,ARCOVERDE,2003,7,50.10000000000001,-37.08,-8.41
43,ARCOVERDE,2003,8,54.9,-37.08,-8.41
44,ARCOVERDE,2003,9,61.7,-37.08,-8.41
45,ARCOVERDE,2003,10,10.8,-37.08,-8.41
46,ARCOVERDE,2003,11,33.0,-37.08,-8.41
47,ARCOVERDE,2003,12,8.4,-37.08,-8.41
48,ARCOVERDE,2004,1,346.59999999999997,-37.08,-8.41
49,ARCOVERDE,2004,2,207.79999999999995,-37.08,-8.41
50,ARCOVERDE,2004,3,47.4,-37.08,-8.41
51,ARCOVERDE,2004,4,19.200000000000003,-37.08,-8.41
52,ARCOVERDE,2004,5,43.89999999999999,-37.08,-8.41
53,ARCOVERDE,2004,6,151.79999999999995,-37.08,-8.41
54,ARCOVERDE,2004,7,72.9,-37.08,-8.41
55,ARCOVERDE,2004,8,64.9,-37.08,-8.41
56,ARCOVERDE,2004,9,20.1,-37.08,-8.41
57,ARCOVERDE,2004,10,0.0,-37.08,-8.41
58,ARCOVERDE,2004,11,2.3,-37.08,-8.41
59,ARCOVERDE,2004,12,3.9,-37.08,-8.41
60,ARCOVERDE,2005,2,76.60000000000001,-37.08,-8.41
61,ARCOVERDE,2005,3,205.2,-37.08,-8.41
62,ARCOVERDE,2005,4,19.8,-37.08,-8.41
63,ARCOVERDE,2005,5,88.29999999999998,-37.08,-8.41
64,ARCOVERDE,2005,6,150.60000000000002,-37.08,-8.41
65,ARCOVERDE,2005,7,49.50000000000001,-37.08,-8.41
66,ARCOVERDE,2005,8,85.5,-37.08,-8.41
67,ARCOVERDE,2005,9,7.9,-37.08,-8.41
68,ARCOVERDE,2005,10,0.0,-37.08,-8.41
69,ARCOVERDE,2005,11,1.2,-37.08,-8.41
70,ARCOVERDE,2005,12,115.8,-37.08,-8.41
71,ARCOVERDE,2006,2,27.8,-37.08,-8.41
72,ARCOVERDE,2006,3,72.7,-37.08,-8.41
73,ARCOVERDE,2006,4,90.9,-37.08,-8.41
74,ARCOVERDE,2006,5,86.89999999999999,-37.08,-8.41
75,ARCOVERDE,2006,6,118.60000000000001,-37.08,-8.41
76,ARCOVERDE,2006,7,54.0,-37.08,-8.41
77,ARCOVERDE,2006,8,37.7,-37.08,-8.41
78,ARCOVERDE,2006,9,21.2,-37.08,-8.41
79,ARCOVERDE,2006,10,2.3,-37.08,-8.41
80,ARCOVERDE,2006,11,15.6,-37.08,-8.41
81,ARCOVERDE,2006,12,0.0,-37.08,-8.41
82,ARCOVERDE,2007,2,134.79999999999998,-37.08,-8.41
83,ARCOVERDE,2007,3,238.60000000000002,-37.08,-8.41
84,ARCOVERDE,2007,4,64.30000000000001,-37.08,-8.41
85,ARCOVERDE,2007,5,70.9,-37.08,-8.41
86,ARCOVERDE,2007,6,158.0,-37.08,-8.41
87,ARCOVERDE,2007,7,58.4,-37.08,-8.41
88,ARCOVERDE,2007,8,97.1,-37.08,-8.41
89,ARCOVERDE,2007,9,35.10000000000001,-37.08,-8.41
90,ARCOVERDE,2007,10,3.6999999999999997,-37.08,-8.41
91,ARCOVERDE,2007,11,9.4,-37.08,-8.41
92,ARCOVERDE,2007,12,18.8,-37.08,-8.41
93,ARCOVERDE,2008,2,88.4,-37.08,-8.41
94,ARCOVERDE,2008,3,179.6,-37.08,-8.41
95,ARCOVERDE,2008,4,85.29999999999998,-37.08,-8.41
96,ARCOVERDE,2008,5,154.29999999999995,-37.08,-8.41
97,ARCOVERDE,2008,6,54.5,-37.08,-8.41
98,ARCOVERDE,2008,7,107.20000000000002,-37.08,-8.41
99,ARCOVERDE,2008,8,45.6,-37.08,-8.41
100,ARCOVERDE,2008,9,12.399999999999999,-37.08,-8.41
101,ARCOVERDE,2008,10,5.7,-37.08,-8.41
102,ARCOVERDE,2008,11,0.0,-37.08,-8.41
103,ARCOVERDE,2008,12,21.2,-37.08,-8.41
104,ARCOVERDE,2009,2,89.3,-37.08,-8.41
105,ARCOVERDE,2009,5,256.9,-37.08,-8.41
106,ARCOVERDE,2009,6,78.69999999999999,-37.08,-8.41
107,ARCOVERDE,2009,7,80.5,-37.08,-8.41
108,ARCOVERDE,2009,8,97.7,-37.08,-8.41
109,ARCOVERDE,2009,9,2.3,-37.08,-8.41
110,ARCOVERDE,2009,10,6.1,-37.08,-8.41
111,ARCOVERDE,2009,11,4.8,-37.08,-8.41
112,ARCOVERDE,2009,12,36.1,-37.08,-8.41
113,ARCOVERDE,2010,1,143.29999999999998,-37.08,-8.41
114,ARCOVERDE,2010,2,90.1,-37.08,-8.41
115,ARCOVERDE,2010,3,67.6,-37.08,-8.41
116,ARCOVERDE,2010,5,34.699999999999996,-37.08,-8.41
117,ARCOVERDE,2010,6,210.59999999999997,-37.08,-8.41
118,ARCOVERDE,2010,7,73.5,-37.08,-8.41
119,ARCOVERDE,2010,8,31.900000000000002,-37.08,-8.41
120,ARCOVERDE,2010,9,37.300000000000004,-37.08,-8.41
121,ARCOVERDE,2010,10,62.1,-37.08,-8.41
122,ARCOVERDE,2010,11,0.0,-37.08,-8.41
123,ARCOVERDE,2010,12,31.200000000000003,-37.08,-8.41
124,ARCOVERDE,2011,1,36.2,-37.08,-8.41
125,ARCOVERDE,2011,2,58.0,-37.08,-8.41
126,ARCOVERDE,2011,3,36.10000000000001,-37.08,-8.41
127,ARCOVERDE,2011,4,89.00000000000001,-37.08,-8.41
128,ARCOVERDE,2011,5,229.80000000000007,-37.08,-8.41
129,ARCOVERDE,2011,7,77.99999999999999,-37.08,-8.41
130,ARCOVERDE,2011,8,39.199999999999996,-37.08,-8.41
131,ARCOVERDE,2011,9,22.400000000000002,-37.08,-8.41
132,ARCOVERDE,2011,10,18.2,-37.08,-8.41
133,ARCOVERDE,2011,11,21.799999999999997,-37.08,-8.41
134,ARCOVERDE,2011,12,0.0,-37.08,-8.41
135,ARCOVERDE,2012,1,91.20000000000002,-37.08,-8.41
136,ARCOVERDE,2012,2,7.699999999999999,-37.08,-8.41
137,ARCOVERDE,2012,3,10.0,-37.08,-8.41
138,ARCOVERDE,2012,4,38.7,-37.08,-8.41
139,ARCOVERDE,2012,5,43.699999999999996,-37.08,-8.41
140,ARCOVERDE,2012,6,27.299999999999997,-37.08,-8.41
141,ARCOVERDE,2012,7,59.3,-37.08,-8.41
142,ARCOVERDE,2012,8,37.900000000000006,-37.08,-8.41
143,ARCOVERDE,2012,9,5.8999999999999995,-37.08,-8.41
144,ARCOVERDE,2012,10,7.7,-37.08,-8.41
145,ARCOVERDE,2012,11,10.9,-37.08,-8.41
146,ARCOVERDE,2012,12,0.9,-37.08,-8.41
147,ARCOVERDE,2013,1,3.2,-37.08,-8.41
148,ARCOVERDE,2013,2,1.4000000000000001,-37.08,-8.41
149,ARCOVERDE,2013,3,17.4,-37.08,-8.41
150,ARCOVERDE,2013,4,98.0,-37.08,-8.41
151,ARCOVERDE,2013,5,56.4,-37.08,-8.41
152,ARCOVERDE,2013,6,60.40000000000001,-37.08,-8.41
153,ARCOVERDE,2013,7,117.1,-37.08,-8.41
154,ARCOVERDE,2013,8,31.400000000000002,-37.08,-8.41
155,ARCOVERDE,2013,9,11.9,-37.08,-8.41
156,ARCOVERDE,2013,10,20.000000000000004,-37.08,-8.41
157,ARCOVERDE,2013,11,9.8,-37.08,-8.41
158,ARCOVERDE,2013,12,90.7,-37.08,-8.41
159,ARCOVERDE,2014,1,3.0,-37.08,-8.41
160,ARCOVERDE,2014,2,65.8,-37.08,-8.41
161,ARCOVERDE,2014,3,17.6,-37.08,-8.41
162,ARCOVERDE,2014,4,86.30000000000001,-37.08,-8.41
163,ARCOVERDE,2014,5,129.4,-37.08,-8.41
164,ARCOVERDE,2014,6,59.599999999999994,-37.08,-8.41
165,ARCOVERDE,2014,7,55.9,-37.08,-8.41
166,ARCOVERDE,2014,8,59.300000000000004,-37.08,-8.41
167,ARCOVERDE,2014,9,44.4,-37.08,-8.41
168,ARCOVERDE,2014,10,106.4,-37.08,-8.41
169,ARCOVERDE,2014,11,7.9,-37.08,-8.41
170,ARCOVERDE,2014,12,7.9,-37.08,-8.41
171,ARCOVERDE,2015,1,1.1,-37.08,-8.41
172,ARCOVERDE,2015,2,70.89999999999999,-37.08,-8.41
173,ARCOVERDE,2015,3,35.7,-37.08,-8.41
174,ARCOVERDE,2015,4,10.0,-37.08,-8.41
175,ARCOVERDE,2015,5,20.0,-37.08,-8.41
176,ARCOVERDE,2015,6,67.19999999999999,-37.08,-8.41
177,ARCOVERDE,2015,7,91.30000000000001,-37.08,-8.41
178,ARCOVERDE,2015,8,28.499999999999996,-37.08,-8.41
179,ARCOVERDE,2015,9,15.0,-37.08,-8.41
180,ARCOVERDE,2015,10,0.0,-37.08,-8.41
181,ARCOVERDE,2015,11,0.0,-37.08,-8.41
182,ARCOVERDE,2015,12,54.2,-37.08,-8.41
183,ARCOVERDE,2016,1,211.0,-37.08,-8.41
184,ARCOVERDE,2016,2,96.6,-37.08,-8.41
185,ARCOVERDE,2016,3,30.0,-37.08,-8.41
186,ARCOVERDE,2016,4,19.099999999999998,-37.08,-8.41
187,ARCOVERDE,2016,5,197.2,-37.08,-8.41
188,ARCOVERDE,2016,6,17.2,-37.08,-8.41
189,ARCOVERDE,2016,7,11.2,-37.08,-8.41
190,ARCOVERDE,2016,8,6.199999999999999,-37.08,-8.41
191,ARCOVERDE,2016,9,0.3,-37.08,-8.41
192,ARCOVERDE,2016,10,0.0,-37.08,-8.41
193,ARCOVERDE,2016,11,0.0,-37.08,-8.41
194,ARCOVERDE,2016,12,4.4,-37.08,-8.41
195,ARCOVERDE,2017,1,0.0,-37.08,-8.41
196,ARCOVERDE,2017,2,3.8,-37.08,-8.41
197,ARCOVERDE,2017,3,17.5,-37.08,-8.41
198,ARCOVERDE,2017,4,50.2,-37.08,-8.41
199,ARCOVERDE,2017,5,140.50000000000003,-37.08,-8.41
200,ARCOVERDE,2017,6,106.5,-37.08,-8.41
201,ARCOVERDE,2017,7,199.3,-37.08,-8.41
202,ARCOVERDE,2017,8,37.8,-37.08,-8.41
203,ARCOVERDE,2017,9,80.0,-37.08,-8.41
204,ARCOVERDE,2017,10,2.5,-37.08,-8.41
205,ARCOVERDE,2017,11,0.0,-37.08,-8.41
206,ARCOVERDE,2017,12,14.399999999999999,-37.08,-8.41
207,CABROBÓ,2000,1,117.69999999999999,-39.33,-8.51
208,CABROBÓ,2000,2,150.7,-39.33,-8.51
209,CABROBÓ,2000,3,127.3,-39.33,-8.51
210,CABROBÓ,2000,4,55.7,-39.33,-8.51
211,CABROBÓ,2000,5,2.6,-39.33,-8.51
212,CABROBÓ,2000,7,8.0,-39.33,-8.51
213,CABROBÓ,2000,8,5.000000000000001,-39.33,-8.51
214,CABROBÓ,2000,9,7.100000000000001,-39.33,-8.51
215,CABROBÓ,2000,10,0.0,-39.33,-8.51
216,CABROBÓ,2000,11,17.1,-39.33,-8.51
217,CABROBÓ,2000,12,114.3,-39.33,-8.51
218,CABROBÓ,2001,1,1.7999999999999998,-39.33,-8.51
219,CABROBÓ,2001,2,70.2,-39.33,-8.51
220,CABROBÓ,2001,3,259.3,-39.33,-8.51
221,CABROBÓ,2001,4,8.8,-39.33,-8.51
222,CABROBÓ,2001,5,0.3,-39.33,-8.51
223,CABROBÓ,2001,7,5.399999999999999,-39.33,-8.51
224,CABROBÓ,2001,8,5.3,-39.33,-8.51
225,CABROBÓ,2001,9,0.0,-39.33,-8.51
226,CABROBÓ,2001,10,31.799999999999997,-39.33,-8.51
227,CABROBÓ,2001,11,0.0,-39.33,-8.51
228,CABROBÓ,2001,12,128.3,-39.33,-8.51
229,CABROBÓ,2002,1,214.60000000000002,-39.33,-8.51
230,CABROBÓ,2002,2,0.3,-39.33,-8.51
231,CABROBÓ,2002,3,105.10000000000001,-39.33,-8.51
232,CABROBÓ,2002,4,25.8,-39.33,-8.51
233,CABROBÓ,2002,5,10.1,-39.33,-8.51
234,CABROBÓ,2002,6,0.0,-39.33,-8.51
235,CABROBÓ,2002,7,8.2,-39.33,-8.51
236,CABROBÓ,2002,8,0.9000000000000001,-39.33,-8.51
237,CABROBÓ,2002,9,0.0,-39.33,-8.51
238,CABROBÓ,2002,10,0.0,-39.33,-8.51
239,CABROBÓ,2002,11,0.0,-39.33,-8.51
240,CABROBÓ,2002,12,99.3,-39.33,-8.51
241,CABROBÓ,2003,1,48.2,-39.33,-8.51
242,CABROBÓ,2003,2,23.5,-39.33,-8.51
243,CABROBÓ,2003,3,142.8,-39.33,-8.51
244,CABROBÓ,2003,4,99.7,-39.33,-8.51
245,CABROBÓ,2003,5,26.9,-39.33,-8.51
246,CABROBÓ,2003,7,9.9,-39.33,-8.51
247,CABROBÓ,2003,8,6.3,-39.33,-8.51
248,CABROBÓ,2003,9,0.2,-39.33,-8.51
249,CABROBÓ,2003,10,0.0,-39.33,-8.51
250,CABROBÓ,2003,11,2.3,-39.33,-8.51
251,CABROBÓ,2003,12,2.6,-39.33,-8.51
252,CABROBÓ,2004,1,502.7999999999999,-39.33,-8.51
253,CABROBÓ,2004,2,148.09999999999997,-39.33,-8.51
254,CABROBÓ,2004,3,62.199999999999996,-39.33,-8.51
255,CABROBÓ,2004,4,0.4,-39.33,-8.51
256,CABROBÓ,2004,5,18.6,-39.33,-8.51
257,CABROBÓ,2004,7,2.9,-39.33,-8.51
258,CABROBÓ,2004,8,1.9000000000000001,-39.33,-8.51
259,CABROBÓ,2004,9,0.8999999999999999,-39.33,-8.51
260,CABROBÓ,2004,10,0.4,-39.33,-8.51
261,CABROBÓ,2004,11,24.6,-39.33,-8.51
262,CABROBÓ,2004,12,34.4,-39.33,-8.51
263,CABROBÓ,2005,1,59.60000000000001,-39.33,-8.51
264,CABROBÓ,2005,2,138.4,-39.33,-8.51
265,CABROBÓ,2005,3,162.79999999999998,-39.33,-8.51
266,CABROBÓ,2005,5,76.69999999999997,-39.33,-8.51
267,CABROBÓ,2005,6,34.9,-39.33,-8.51
268,CABROBÓ,2005,7,9.899999999999999,-39.33,-8.51
269,CABROBÓ,2005,8,7.7,-39.33,-8.51
270,CABROBÓ,2005,9,0.7,-39.33,-8.51
271,CABROBÓ,2005,10,0.0,-39.33,-8.51
272,CABROBÓ,2005,11,153.7,-39.33,-8.51
273,CABROBÓ,2005,12,13.600000000000001,-39.33,-8.51
274,CABROBÓ,2006,1,0.0,-39.33,-8.51
275,CABROBÓ,2006,2,74.6,-39.33,-8.51
276,CABROBÓ,2006,3,248.29999999999998,-39.33,-8.51
277,CABROBÓ,2006,4,89.69999999999999,-39.33,-8.51
278,CABROBÓ,2006,5,12.3,-39.33,-8.51
279,CABROBÓ,2006,7,36.1,-39.33,-8.51
280,CABROBÓ,2006,8,2.6999999999999997,-39.33,-8.51
281,CABROBÓ,2006,9,4.5,-39.33,-8.51
282,CABROBÓ,2006,10,25.0,-39.33,-8.51
283,CABROBÓ,2006,11,38.4,-39.33,-8.51
284,CABROBÓ,2006,12,2.7,-39.33,-8.51
285,CABROBÓ,2007,1,40.199999999999996,-39.33,-8.51
286,CABROBÓ,2007,2,208.80000000000004,-39.33,-8.51
287,CABROBÓ,2007,3,109.8,-39.33,-8.51
288,CABROBÓ,2007,4,5.800000000000001,-39.33,-8.51
289,CABROBÓ,2007,5,110.10000000000001,-39.33,-8.51
290,CABROBÓ,2007,6,20.3,-39.33,-8.51
291,CABROBÓ,2007,7,1.2,-39.33,-8.51
292,CABROBÓ,2007,8,9.999999999999998,-39.33,-8.51
293,CABROBÓ,2007,9,2.0,-39.33,-8.51
294,CABROBÓ,2007,10,0.0,-39.33,-8.51
295,CABROBÓ,2007,11,6.0,-39.33,-8.51
296,CABROBÓ,2007,12,27.0,-39.33,-8.51
297,CABROBÓ,2008,1,49.9,-39.33,-8.51
298,CABROBÓ,2008,2,173.2,-39.33,-8.51
299,CABROBÓ,2008,3,212.4,-39.33,-8.51
300,CABROBÓ,2008,4,225.89999999999998,-39.33,-8.51
301,CABROBÓ,2008,5,13.099999999999998,-39.33,-8.51
302,CABROBÓ,2008,6,3.2,-39.33,-8.51
303,CABROBÓ,2008,7,0.0,-39.33,-8.51
304,CABROBÓ,2008,8,5.1,-39.33,-8.51
305,CABROBÓ,2008,9,0.6,-39.33,-8.51
306,CABROBÓ,2008,10,0.7,-39.33,-8.51
307,CABROBÓ,2008,11,0.0,-39.33,-8.51
308,CABROBÓ,2008,12,23.6,-39.33,-8.51
309,CABROBÓ,2009,1,205.90000000000003,-39.33,-8.51
310,CABROBÓ,2009,2,87.89999999999999,-39.33,-8.51
311,CABROBÓ,2009,3,108.69999999999999,-39.33,-8.51
312,CABROBÓ,2009,4,269.49999999999994,-39.33,-8.51
313,CABROBÓ,2009,5,70.00000000000001,-39.33,-8.51
314,CABROBÓ,2009,6,0.0,-39.33,-8.51
315,CABROBÓ,2009,7,4.1,-39.33,-8.51
316,CABROBÓ,2009,8,10.000000000000002,-39.33,-8.51
317,CABROBÓ,2009,9,13.6,-39.33,-8.51
318,CABROBÓ,2009,10,30.4,-39.33,-8.51
319,CABROBÓ,2009,11,8.0,-39.33,-8.51
320,CABROBÓ,2009,12,33.0,-39.33,-8.51
321,CABROBÓ,2010,1,34.29999999999999,-39.33,-8.51
322,CABROBÓ,2010,2,64.4,-39.33,-8.51
323,CABROBÓ,2010,3,50.6,-39.33,-8.51
324,CABROBÓ,2010,4,97.5,-39.33,-8.51
325,CABROBÓ,2010,9,3.8,-39.33,-8.51
326,CABROBÓ,2010,10,106.8,-39.33,-8.51
327,CABROBÓ,2010,12,86.1,-39.33,-8.51
328,CABROBÓ,2011,1,71.4,-39.33,-8.51
329,CABROBÓ,2011,2,157.5,-39.33,-8.51
330,CABROBÓ,2011,3,92.9,-39.33,-8.51
331,CABROBÓ,2011,4,26.5,-39.33,-8.51
332,CABROBÓ,2011,5,111.7,-39.33,-8.51
333,CABROBÓ,2011,6,7.499999999999999,-39.33,-8.51
334,CABROBÓ,2011,7,24.9,-39.33,-8.51
335,CABROBÓ,2011,8,5.4,-39.33,-8.51
336,CABROBÓ,2011,9,4.8,-39.33,-8.51
337,CABROBÓ,2011,10,8.2,-39.33,-8.51
338,CABROBÓ,2011,11,25.2,-39.33,-8.51
339,CABROBÓ,2011,12,50.0,-39.33,-8.51
340,CABROBÓ,2012,1,11.5,-39.33,-8.51
341,CABROBÓ,2012,2,117.7,-39.33,-8.51
342,CABROBÓ,2012,3,16.8,-39.33,-8.51
343,CABROBÓ,2012,4,0.0,-39.33,-8.51
344,CABROBÓ,2012,5,11.8,-39.33,-8.51
345,CABROBÓ,2012,6,3.4,-39.33,-8.51
346,CABROBÓ,2012,7,15.5,-39.33,-8.51
347,CABROBÓ,2012,8,8.7,-39.33,-8.51
348,CABROBÓ,2012,9,1.0,-39.33,-8.51
349,CABROBÓ,2012,10,0.0,-39.33,-8.51
350,CABROBÓ,2012,11,7.9,-39.33,-8.51
351,CABROBÓ,2012,12,0.8,-39.33,-8.51
352,CABROBÓ,2013,1,49.29999999999999,-39.33,-8.51
353,CABROBÓ,2013,2,0.0,-39.33,-8.51
354,CABROBÓ,2013,3,0.8,-39.33,-8.51
355,CABROBÓ,2013,4,57.9,-39.33,-8.51
356,CABROBÓ,2013,5,5.0,-39.33,-8.51
357,CABROBÓ,2013,6,0.8,-39.33,-8.51
358,CABROBÓ,2013,7,14.099999999999998,-39.33,-8.51
359,CABROBÓ,2013,8,1.8,-39.33,-8.51
360,CABROBÓ,2013,9,0.0,-39.33,-8.51
361,CABROBÓ,2013,10,5.2,-39.33,-8.51
362,CABROBÓ,2013,11,1.3,-39.33,-8.51
363,CABROBÓ,2013,12,200.00000000000003,-39.33,-8.51
364,CABROBÓ,2014,1,6.800000000000001,-39.33,-8.51
365,CABROBÓ,2014,2,28.4,-39.33,-8.51
366,CABROBÓ,2014,3,12.600000000000001,-39.33,-8.51
367,CABROBÓ,2014,4,48.7,-39.33,-8.51
368,CABROBÓ,2014,5,19.9,-39.33,-8.51
369,CABROBÓ,2014,6,9.0,-39.33,-8.51
370,CABROBÓ,2014,7,8.9,-39.33,-8.51
371,CABROBÓ,2014,8,14.899999999999999,-39.33,-8.51
372,CABROBÓ,2014,9,5.4,-39.33,-8.51
373,CABROBÓ,2014,10,3.0,-39.33,-8.51
374,CABROBÓ,2014,11,31.200000000000003,-39.33,-8.51
375,CABROBÓ,2014,12,46.4,-39.33,-8.51
