Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82886;01/01/2000;0000;;32.1;;11.1;6.7;27.24;59.75;2.966667;
82886;01/01/2000;1200;0;;23.2;;;;;;
82886;02/01/2000;0000;;31.9;;11.5;9.1;26.84;59.5;3.1;
82886;02/01/2000;1200;0;;22.2;;;;;;
82886;03/01/2000;0000;;30.3;;0.9;8.6;26.64;67.75;2.233333;
82886;03/01/2000;1200;0;;23.4;;;;;;
82886;04/01/2000;0000;;31.3;;5.3;5.1;25.64;73.75;2.966667;
82886;04/01/2000;1200;0.2;;23.4;;;;;;
82886;05/01/2000;0000;;31.1;;11.3;6;26.4;60;4.566667;
82886;05/01/2000;1200;4.6;;21.2;;;;;;
82886;06/01/2000;0000;;30.5;;4.5;8.1;25.76;76.5;2.5;
82886;06/01/2000;1200;0;;21.6;;;;;;
82886;07/01/2000;0000;;30.9;;9.7;6.2;26.52;63.5;3.866667;
82886;07/01/2000;1200;0;;22.2;;;;;;
82886;08/01/2000;0000;;31.9;;8.2;11.2;26.44;65;4.7;
82886;08/01/2000;1200;0;;23;;;;;;
82886;09/01/2000;0000;;30.3;;1.9;7.6;25.44;76;2.133333;
82886;09/01/2000;1200;0;;23;;;;;;
82886;10/01/2000;0000;;33.1;;8.8;6;27.72;55.25;3.266667;
82886;10/01/2000;1200;0.3;;23.4;;;;;;
82886;11/01/2000;0000;;32.7;;11.6;10.9;26.88;57.5;2.733333;
82886;11/01/2000;1200;0;;22.2;;;;;;
82886;12/01/2000;0000;;32.7;;9.5;10.1;27.36;56.25;4.466667;
82886;12/01/2000;1200;0;;22.2;;;;;;
82886;13/01/2000;0000;;30.5;;2.8;10.7;25.96;72.75;3.6;
82886;13/01/2000;1200;0;;23;;;;;;
82886;14/01/2000;0000;;32.9;;8.7;5.6;27.16;64.75;4.166667;
82886;14/01/2000;1200;1.6;;23;;;;;;
82886;15/01/2000;0000;;31.5;;4.6;10.5;26.4;67.25;4.2;
82886;15/01/2000;1200;0.4;;23.6;;;;;;
82886;16/01/2000;0000;;34.7;;11.8;7.2;27.84;55.75;3.2;
82886;16/01/2000;1200;0;;22.2;;;;;;
82886;17/01/2000;0000;;34.9;;11.3;9.3;28.92;53.75;3.133333;
82886;17/01/2000;1200;0;;24.6;;;;;;
82886;18/01/2000;0000;;33.5;;8.2;8.8;27.72;65;3.3;
82886;18/01/2000;1200;8;;23.4;;;;;;
82886;19/01/2000;0000;;33.3;;6.6;7.3;27.48;75.25;3.8;
82886;19/01/2000;1200;0;;24.4;;;;;;
82886;20/01/2000;0000;;33.7;;9.8;4.7;26.88;70.75;2.6;
82886;20/01/2000;1200;25.6;;23.2;;;;;;
82886;21/01/2000;0000;;29.7;;2.2;5.5;24.76;89.75;1.6;
82886;21/01/2000;1200;5.8;;22.4;;;;;;
82886;22/01/2000;0000;;32.5;;8.3;2.1;26.24;86;2.933333;
82886;22/01/2000;1200;12.6;;21.6;;;;;;
82886;23/01/2000;0000;;29.5;;5.4;2.9;25.32;81.5;2.2;
82886;23/01/2000;1200;49;;21.2;;;;;;
82886;24/01/2000;0000;;31.1;;6.7;2.6;26.32;80.75;2.5;
82886;24/01/2000;1200;4.6;;23.4;;;;;;
82886;25/01/2000;0000;;31.3;;10;2.4;26.44;74.25;2.9;
82886;25/01/2000;1200;4.6;;22.6;;;;;;
82886;26/01/2000;0000;;31.9;;10.4;3.9;27.6;67.75;2.533333;
82886;26/01/2000;1200;0;;23.2;;;;;;
82886;27/01/2000;0000;;32.5;;11;5.1;27.68;67.5;3.7;
82886;27/01/2000;1200;0;;24.6;;;;;;
82886;28/01/2000;0000;;33.3;;11.5;5.3;27.6;65.5;2.133333;
82886;28/01/2000;1200;0.4;;22;;;;;;
82886;29/01/2000;0000;;32.9;;8.6;5.9;27.88;60;3.533333;
82886;29/01/2000;1200;0;;24;;;;;;
82886;30/01/2000;0000;;32.9;;10.2;9.1;28.52;53;5.066667;
82886;30/01/2000;1200;0;;23.2;;;;;;
82886;31/01/2000;0000;;31.9;;10.6;11.6;27.6;64.5;3.7;
82886;31/01/2000;1200;0;;23.4;;;;;;
82886;01/02/2000;0000;;33.3;;10.6;8.1;28.04;63;2.4;
82886;01/02/2000;1200;0;;23;;;;;;
82886;02/02/2000;0000;;35.1;;8.6;7.3;27.44;65;2.866667;
82886;02/02/2000;1200;0;;23.2;;;;;;
82886;03/02/2000;0000;;33.5;;9.3;5.3;28.16;59.25;4.1;
82886;03/02/2000;1200;0;;22.6;;;;;;
82886;04/02/2000;0000;;28.7;;0.3;6.9;25;87.25;2.266667;
82886;04/02/2000;1200;0.2;;23.4;;;;;;
82886;05/02/2000;0000;;33.3;;8.3;2.4;27.16;65.75;3.3;
82886;05/02/2000;1200;1.7;;22.4;;;;;;
82886;06/02/2000;0000;;32.5;;7.7;4.8;26.72;69;2.566667;
82886;06/02/2000;1200;16.2;;22.2;;;;;;
82886;07/02/2000;0000;;33.3;;9.7;4.9;27.4;63.5;1.733333;
82886;07/02/2000;1200;0;;22.4;;;;;;
82886;08/02/2000;0000;;33.1;;9.4;6.7;27.48;64.25;2.7;
82886;08/02/2000;1200;0;;24.2;;;;;;
82886;09/02/2000;0000;;33.7;;9.4;6.3;27.32;58;3.366667;
82886;09/02/2000;1200;0.6;;22.8;;;;;;
82886;10/02/2000;0000;;33.3;;6.7;9.8;26.52;74.5;4.566667;
82886;10/02/2000;1200;0;;22.6;;;;;;
82886;11/02/2000;0000;;32.7;;9;4.7;27.08;57.75;4.166667;
82886;11/02/2000;1200;8.4;;22.4;;;;;;
82886;12/02/2000;0000;;33.7;;11.4;12;27.52;47.5;4;
82886;12/02/2000;1200;0;;21.4;;;;;;
82886;13/02/2000;0000;;33.9;;11.2;12.2;26.4;70.25;3.3;
82886;13/02/2000;1200;0;;22.6;;;;;;
82886;14/02/2000;0000;;29.7;;8.8;8;25.72;69.25;4.466667;
82886;14/02/2000;1200;6.6;;22;;;;;;
82886;15/02/2000;0000;;32.3;;8.3;7.5;26.48;68.75;3.466667;
82886;15/02/2000;1200;4;;22;;;;;;
82886;16/02/2000;0000;;28.5;;0.9;5.1;24.24;88;2.6;
82886;16/02/2000;1200;0;;22;;;;;;
82886;17/02/2000;0000;;30.7;;6.7;1.9;25.8;78.5;2.8;
82886;17/02/2000;1200;25.8;;22;;;;;;
82886;18/02/2000;0000;;31.1;;10.7;4.3;26;70.5;2.366667;
82886;18/02/2000;1200;0.5;;21.2;;;;;;
82886;19/02/2000;0000;;31.3;;9.8;7;26.36;66.5;2.3;
82886;19/02/2000;1200;0;;22.2;;;;;;
82886;20/02/2000;0000;;31.7;;11.2;7.8;25.44;71.5;4.5;
82886;20/02/2000;1200;0;;22;;;;;;
82886;21/02/2000;0000;;32.1;;8.6;8.6;26.56;68;2;
82886;21/02/2000;1200;4.1;;22.6;;;;;;
82886;22/02/2000;0000;;30.1;;7.8;4.9;24.4;79.25;2.466667;
82886;22/02/2000;1200;23.4;;20;;;;;;
82886;23/02/2000;0000;;30.1;;5.2;3.7;24.12;86.25;1.933333;
82886;23/02/2000;1200;25.4;;20.8;;;;;;
82886;24/02/2000;0000;;29.9;;6.6;2.2;24.38;84.5;1.933333;
82886;24/02/2000;1200;32.8;;21.2;;;;;;
82886;25/02/2000;0000;;30.5;;9.5;2.5;25.2;73.5;2.966667;
82886;25/02/2000;1200;1;;21.6;;;;;;
82886;26/02/2000;0000;;31.1;;11.2;4.9;26.48;65;3.133333;
82886;26/02/2000;1200;0;;21.6;;;;;;
82886;27/02/2000;0000;;31.3;;11.1;6.7;26.68;74;2.766667;
82886;27/02/2000;1200;0;;23;;;;;;
82886;28/02/2000;0000;;30.5;;9.2;5.9;26.12;73.5;2.633333;
82886;28/02/2000;1200;0;;22.4;;;;;;
82886;29/02/2000;0000;;29.9;;6.2;6.7;25.6;71;3.233333;
82886;29/02/2000;1200;0;;22.4;;;;;;
82886;01/03/2000;0000;;30.3;;3.4;5.1;25.16;71.75;2.866667;
82886;01/03/2000;1200;0;;21.4;;;;;;
82886;02/03/2000;0000;;32.3;;11;5.5;27.2;64.5;3.533333;
82886;02/03/2000;1200;0;;22.2;;;;;;
82886;03/03/2000;0000;;31.7;;10.6;7.2;26.2;67;2.8;
82886;03/03/2000;1200;0;;22.4;;;;;;
82886;04/03/2000;0000;;32.7;;10.5;6.8;26.96;67.5;2.433333;
82886;04/03/2000;1200;0;;22;;;;;;
82886;05/03/2000;0000;;30.9;;3.1;7.5;26.72;67.25;3.766667;
82886;05/03/2000;1200;0;;24.2;;;;;;
82886;06/03/2000;0000;;31.1;;3.4;6.7;26.48;69;3.033333;
82886;06/03/2000;1200;0;;22.6;;;;;;
82886;07/03/2000;0000;;32.1;;7.6;5.7;26.68;67.25;2.966667;
82886;07/03/2000;1200;0;;22.8;;;;;;
82886;08/03/2000;0000;;29.3;;2.6;5.8;24.76;85.5;1.766667;
82886;08/03/2000;1200;40.2;;22;;;;;;
82886;09/03/2000;0000;;28.5;;1.4;1.8;24.56;89.5;2;
82886;09/03/2000;1200;51;;21.6;;;;;;
82886;10/03/2000;0000;;28.5;;10.4;1.4;25.36;84.75;1.733333;
82886;10/03/2000;1200;18;;22.4;;;;;;
