,Estacao,lat,long
0,ABREU E LIMA,-7.8793096020120394,-35.01934009338457
1,AFOGADOS DA INGAZEIRA,-7.737103509675108,-37.620003798677466
2,AFRÂNIO,-8.618929099408653,-41.00539529364756
3,AGRESTINA,-8.456524119010549,-35.94531231903818
4,ÁGUA PRETA,-8.728814269575734,-35.48177616405514
5,ÁGUAS BELAS,-9.087044139913019,-37.03864786272059
6,ALAGOINHA,-8.493978319370981,-36.7554297817738
7,ALIANÇA,-7.60279498256036,-35.19311457008724
8,ALTINHO,-8.489918691310258,-36.09864525002773
9,AMARAJI,-8.365380153914202,-35.465736750808105
10,ANGELIM,-8.8915418515502,-36.27674373369051
11,ARAÇOIABA,-7.793236711035405,-35.07613742267964
12,ARARIPINA,-7.607948457582772,-40.48480413554229
13,ARCOVERDE,-8.384842221825009,-37.010330930251286
14,BARRA DE GUABIRABA,-8.416564253203092,-35.63277522854747
15,BARREIROS,-8.82019467675739,-35.25863012602953
16,BELÉM DE MARIA,-8.605059349138537,-35.81505948300467
17,BELÉM DO SÃO FRANCISCO,-8.583564097929186,-38.98193984423298
18,BELO JARDIM,-8.258927997890455,-36.40518330097552
19,BETÂNIA,-8.265292407434792,-37.98765294625903
20,BEZERROS,-8.217908792018976,-35.78240547162208
21,BODOCÓ,-7.655906276381708,-39.96474559829969
22,BOM CONSELHO,-9.202682647965172,-36.684012871670994
23,BOM JARDIM,-7.785541655987801,-35.587443938431676
24,BONITO,-8.495524917844772,-35.70753328161778
25,BREJÃO,-9.026748182753701,-36.529869829235274
26,BREJINHO,-7.336555012950993,-37.32074739259101
27,BREJO DA MADRE DE DEUS,-8.075643261687437,-36.28141294836302
28,BUENOS AIRES,-7.737919247372224,-35.34723931400745
29,BUÍQUE,-8.649040299486515,-37.120868864984416
30,CABO DE SANTO AGOSTINHO,-8.269480696537737,-35.08481240849225
31,CABROBÓ,-8.386551003868941,-39.32935226323268
32,CACHOEIRINHA,-8.484928150978478,-36.290944698561674
33,CAETÉS,-8.803950778757578,-36.65918714425651
34,CALÇADO,-8.750575447065483,-36.32175398043247
35,CALUMBI,-8.003915855524784,-38.07868286974859
36,CAMARAGIBE,-7.986834388890631,-34.99576252274659
37,CAMOCIM DE SÃO FÉLIX,-8.349438168338798,-35.77188579185397
38,CAMUTANGA,-7.433122864651511,-35.299566288428395
39,CANHOTINHO,-8.893225862265433,-36.1769041159011
40,CAPOEIRAS,-8.687048527531738,-36.599063613238286
41,CARNAÍBA,-7.796230226656169,-37.72716027930646
42,CARNAUBEIRA DA PENHA,-8.409193736560207,-38.721531896659535
43,CARPINA,-7.819559800703656,-35.3056012257881
44,CARUARU,-8.1799800715196,-36.01658808307006
45,CASINHAS,-7.756380607477385,-35.72138272162249
46,CATENDE,-8.675857876542631,-35.73048092722981
47,CEDRO,-7.743823253352923,-39.20373798545819
48,CHÃ DE ALEGRIA,-7.9993416538727455,-35.22256749433878
49,CHÃ GRANDE,-8.229523353959191,-35.47397906386796
50,CONDADO,-7.596312953995816,-35.09867744224705
51,CORRENTES,-9.114711583481933,-36.33867901420009
52,CORTÊS,-8.433013942447168,-35.530759662143915
53,CUMARU,-8.03995267643186,-35.7207720810704
54,CUPIRA,-8.583010169903838,-35.931376020496515
55,CUSTÓDIA,-8.17384217955878,-37.68155456021125
56,DORMENTES,-8.49619742573814,-40.620297353169356
57,ESCADA,-8.36981728484851,-35.26450188472909
58,EXU,-7.5160809226547025,-39.748149317105955
59,FEIRA NOVA,-7.952893393703726,-35.38324071576474
61,FERREIROS,-7.476820358040526,-35.24314125887011
62,FLORES,-7.939923175904281,-37.89476409017248
63,FLORESTA,-8.56657933900718,-38.30582209235457
64,FREI MIGUELINHO,-7.935086561565669,-35.88499624746277
65,GAMELEIRA,-8.612930378723915,-35.39260893004458
66,GARANHUNS,-8.929088284919008,-36.50113558049413
67,GLÓRIA DO GOITÁ,-8.013149286551984,-35.33937385711091
68,GOIANA,-7.596975065418659,-34.942469229178975
69,GRANITO,-7.788440781418193,-39.69429577133724
70,GRAVATÁ,-8.198597466960964,-35.564030273524644
71,IATI,-9.143470667698756,-36.90105650654662
72,IBIMIRIM,-8.592468500787678,-37.607849783370206
73,IBIRAJUBA,-8.613398171804901,-36.20142020982419
74,IGARASSU,-7.817730197755748,-34.96046810678433
75,IGUARACY,-7.845560777179319,-37.403137098570674
76,INAJÁ,-8.80823882132286,-37.8464374058201
77,INGAZEIRA,-7.713860540203777,-37.41613176734657
78,IPOJUCA,-8.437442574694725,-35.08797517494253
79,IPUBI,-7.49786027009775,-40.21739762473545
80,ITACURUBA,-8.749276944062515,-38.72856271979458
81,ITAÍBA,-8.984327860591854,-37.29581854914159
82,ILHA DE ITAMARACÁ,-7.759495137583428,-34.85470433036537
83,ITAMBÉ,-7.450008990628742,-35.134370222510185
84,ITAPETIM,-7.397544495733166,-37.14323638570548
85,ITAPISSUMA,-7.745844689194264,-34.90734090786804
86,ITAQUITINGA,-7.686384287198389,-35.03256148301291
87,JABOATÃO DOS GUARARAPES,-8.152158218230232,-35.0033608859586
88,JAQUEIRA,-8.743310253860338,-35.807829029014194
89,JATAÚBA,-8.055209105484268,-36.533863042257416
90,JATOBÁ,-9.207754947371036,-38.213788183711536
91,JOÃO ALFREDO,-7.85993484093149,-35.593960894936906
92,JOAQUIM NABUCO,-8.561888681417066,-35.54446073809687
93,JUCATI,-8.74406662281625,-36.45955667991146
94,JUPI,-8.715471625034144,-36.39397031587206
95,JUREMA,-8.755428686364702,-36.14274667626637
96,LAGOA DO CARRO,-7.8525884500687795,-35.33672416010384
97,LAGOA DE ITAENGA,-7.909766861544262,-35.29414127856405
98,LAGOA DO OURO,-9.162191569851595,-36.46516182934144
99,LAGOA DOS GATOS,-8.682365727172234,-35.89558359401114
100,LAGOA GRANDE,-8.777380981387372,-40.223004979513064
101,LAJEDO,-8.677954109683812,-36.28629393623401
102,LIMOEIRO,-7.847724471582879,-35.44786068632717
103,MACAPARANA,-7.527665459878644,-35.45021054131381
104,MACHADOS,-7.70460092967415,-35.5002632950721
105,MANARI,-8.892923573172439,-37.55422327597
106,MARAIAL,-8.834209117318222,-35.761710545352415
107,MIRANDIBA,-8.157508353192368,-38.736063250009984
108,MORENO,-8.143838058254424,-35.146905886679576
