Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82753;01/01/2000;1200;0;;;;;;;;
82753;01/02/2000;0000;;32.1;;10.4;3.5;25.62;80;2.2;
82753;01/02/2000;1200;0;;20.1;;;;;;
82753;02/02/2000;0000;;33;;6.7;4.4;25.76;85.75;1.666667;
82753;02/02/2000;1200;0;;20.4;;;;;;
82753;03/02/2000;0000;;32.2;;10.7;2.9;26.3;78.5;2.4;
82753;03/02/2000;1200;3.3;;21.1;;;;;;
82753;04/02/2000;0000;;28.3;;0;4.8;24.44;90.25;1.633333;
82753;04/02/2000;1200;0;;22.8;;;;;;
82753;05/02/2000;0000;;30.5;;5.6;1.5;25.44;86;2.1;
82753;05/02/2000;1200;2.5;;21.1;;;;;;
82753;06/02/2000;0000;;32.4;;3.9;3;25.62;79;2.466667;
82753;06/02/2000;1200;0.1;;21.7;;;;;;
82753;07/02/2000;0000;;31.7;;9;3.4;25.82;77;2.3;
82753;07/02/2000;1200;11;;21;;;;;;
82753;08/02/2000;0000;;31.6;;6.9;3.3;25.52;76.5;2.666667;
82753;08/02/2000;1200;4.4;;21.6;;;;;;
82753;09/02/2000;0000;;29.1;;4.1;2.8;24.38;86.25;1.7;
82753;09/02/2000;1200;2.3;;21;;;;;;
82753;10/02/2000;0000;;32;;4.5;2.3;24.84;80;2.633333;
82753;10/02/2000;1200;3.6;;21;;;;;;
82753;11/02/2000;0000;;32.2;;7.2;3.8;25.94;71.5;2.35;
82753;11/02/2000;1200;0;;21.4;;;;;;
82753;12/02/2000;0000;;32.5;;10.7;5.1;25.78;67.25;2.3;
82753;12/02/2000;1200;0;;21.2;;;;;;
82753;13/02/2000;0000;;31.5;;5;5.5;25.2;82.75;1.833333;
82753;13/02/2000;1200;0;;19.9;;;;;;
82753;14/02/2000;0000;;29.4;;4;3.8;24.36;80.25;3.166667;
82753;14/02/2000;1200;8.5;;21.2;;;;;;
82753;15/02/2000;0000;;30.9;;8.2;3.3;24.46;79.5;1.833333;
82753;15/02/2000;1200;1;;21.2;;;;;;
82753;16/02/2000;0000;;29.7;;5.7;3.3;24.1;93.5;2.233333;
82753;16/02/2000;1200;10.2;;21.6;;;;;;
82753;17/02/2000;0000;;30;;6.4;1.6;24.34;85;2.033333;
82753;17/02/2000;1200;24.6;;20.3;;;;;;
82753;18/02/2000;0000;;31;;8.3;2.6;24.74;81;2.6;
82753;18/02/2000;1200;0;;21.2;;;;;;
82753;19/02/2000;0000;;30.3;;11;4.2;24.94;81;2.466667;
