Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82983;01/01/2000;0000;;31.4;;7.6;5.7;26.96;60.75;1.933333;
82983;01/01/2000;1200;0;;23.8;;;;;;
82983;02/01/2000;0000;;31.4;;10.1;6.5;26.84;61.75;3;
82983;02/01/2000;1200;0;;22.8;;;;;;
82983;03/01/2000;0000;;29.4;;3.4;5.7;25.6;72.5;2.733333;
82983;03/01/2000;1200;0;;22.4;;;;;;
82983;04/01/2000;0000;;31.3;;6;5.3;26.96;59.5;3.566667;
82983;04/01/2000;1200;0;;23.3;;;;;;
82983;05/01/2000;0000;;30.2;;6.6;6.2;26.2;61.75;3.033333;
82983;05/01/2000;1200;0;;22.6;;;;;;
82983;06/01/2000;0000;;29.8;;3.6;5.3;26;60.75;3.6;
82983;06/01/2000;1200;0;;22.6;;;;;;
82983;07/01/2000;0000;;30.8;;9.4;5.4;26.9;56.25;2.733333;
82983;07/01/2000;1200;0;;22.7;;;;;;
82983;08/01/2000;0000;;30.6;;5.1;7.2;25.52;72.5;3.033333;
82983;08/01/2000;1200;0;;23.6;;;;;;
82983;09/01/2000;0000;;30;;4.3;5.4;25.44;74;1.933333;
82983;09/01/2000;1200;6;;22.8;;;;;;
82983;10/01/2000;0000;;31.6;;11.8;4.5;26.84;54;3.033333;
82983;10/01/2000;1200;0.8;;22.4;;;;;;
82983;11/01/2000;0000;;31.8;;11.3;6.7;26.68;58;3.3;
82983;11/01/2000;1200;0;;22.2;;;;;;
82983;12/01/2000;0000;;32;;7;6.3;26.68;57.75;3.3;
82983;12/01/2000;1200;0;;22.6;;;;;;
82983;13/01/2000;0000;;30.4;;2.6;5.8;26.08;70.75;2.733333;
82983;13/01/2000;1200;0;;24;;;;;;
82983;14/01/2000;0000;;31.6;;9.9;4;26.88;59;2.733333;
82983;14/01/2000;1200;0.4;;22.6;;;;;;
82983;15/01/2000;0000;;32;;10;7.4;27.48;;3.3;
82983;15/01/2000;1200;0;;23.2;;;;;;
82983;16/01/2000;0000;;34.4;;11.8;8;28.56;;2.45;
82983;16/01/2000;1200;0;;22.8;;;;;;
