Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82890;01/01/2000;0000;;28.9;;10.9;4.4;23.06;59;3.866667;
82890;01/01/2000;1200;0;;17;;;;;;
82890;02/01/2000;0000;;30.2;;11.3;4;23.66;82;2.433333;
82890;02/01/2000;1200;0;;18.2;;;;;;
82890;03/01/2000;0000;;30.4;;8.8;1.9;23.92;81.75;4.2;
82890;03/01/2000;1200;0;;19.7;;;;;;
82890;04/01/2000;0000;;26.2;;1.1;5.3;21.86;91;3.133333;
82890;04/01/2000;1200;0;;19;;;;;;
82890;05/01/2000;0000;;29.4;;9.2;2.1;23.04;83.5;2.7;
82890;05/01/2000;1200;2.3;;18.6;;;;;;
82890;06/01/2000;0000;;27.6;;1.3;3.3;22.7;90;3.133333;
82890;06/01/2000;1200;0;;19.4;;;;;;
82890;07/01/2000;0000;;27.2;;2.6;2.5;22.98;88;3.166667;
82890;07/01/2000;1200;6.8;;19.8;;;;;;
82890;08/01/2000;0000;;28.4;;6.5;2.7;22.66;93.25;5.766667;
82890;08/01/2000;1200;0;;19.4;;;;;;
82890;09/01/2000;0000;;26.4;;3.1;1.6;22.3;89;3.3;
82890;09/01/2000;1200;13.3;;18.2;;;;;;
82890;10/01/2000;0000;;28.2;;10.5;2.2;22.98;82.5;3;
82890;10/01/2000;1200;0.2;;18.8;;;;;;
82890;11/01/2000;0000;;28.8;;11.5;3.8;22.64;81.75;4.3;
82890;11/01/2000;1200;0;;16.4;;;;;;
82890;12/01/2000;0000;;29.4;;10.8;3.5;23.34;85.25;3.1;
82890;12/01/2000;1200;0;;18;;;;;;
82890;13/01/2000;0000;;29.4;;7.6;4.6;23.78;81.5;3.033333;
82890;13/01/2000;1200;4.4;;20.2;;;;;;
82890;14/01/2000;0000;;29;;6.1;3.6;22.94;89;4.333333;
82890;14/01/2000;1200;0;;20;;;;;;
82890;15/01/2000;0000;;26.7;;1.3;2.2;22.8;90.5;1.8;
82890;15/01/2000;1200;1.3;;18.2;;;;;;
82890;16/01/2000;0000;;30.2;;9.3;2.3;24.58;76;2.633333;
82890;16/01/2000;1200;0;;19;;;;;;
82890;17/01/2000;0000;;32;;11.5;4;24.58;78.5;4.433333;
82890;17/01/2000;1200;0;;19.2;;;;;;
82890;18/01/2000;0000;;31.6;;11.4;5;25.18;78.5;5.366667;
82890;18/01/2000;1200;0;;20.6;;;;;;
82890;19/01/2000;0000;;31.6;;9.1;4.7;25.7;78.5;2.7;
82890;19/01/2000;1200;0;;20;;;;;;
82890;20/01/2000;0000;;31.6;;7.8;6;25.1;77.25;4.033333;
82890;20/01/2000;1200;0;;20.4;;;;;;
82890;21/01/2000;0000;;30.2;;1.8;5.1;23.9;83;2.566667;
82890;21/01/2000;1200;1.2;;21;;;;;;
82890;22/01/2000;0000;;32.2;;5.7;3.6;24.7;81.75;3.4;
82890;22/01/2000;1200;0;;20.2;;;;;;
82890;23/01/2000;0000;;30.8;;10;3.7;24.9;74.75;4.566667;
82890;23/01/2000;1200;13.8;;20;;;;;;
82890;24/01/2000;0000;;31.8;;10.9;4.2;25.18;71.5;3.733333;
82890;24/01/2000;1200;0;;18.6;;;;;;
82890;25/01/2000;0000;;32.4;;11.5;6.7;25.34;67.75;3.366667;
82890;25/01/2000;1200;0;;18;;;;;;
82890;26/01/2000;0000;;33;;10.7;6;25.82;70;3.533333;
82890;26/01/2000;1200;0;;19.8;;;;;;
82890;27/01/2000;0000;;33.4;;11.1;5.7;26.9;67.25;2.266667;
82890;27/01/2000;1200;0;;24.2;;;;;;
82890;28/01/2000;0000;;35.4;;11.2;7.6;27.66;63;3.933333;
82890;28/01/2000;1200;0;;24;;;;;;
82890;29/01/2000;0000;;33.2;;11.4;9.4;25.22;68;4.266667;
82890;29/01/2000;1200;0;;18.8;;;;;;
82890;30/01/2000;0000;;31.6;;8.9;7.2;25.04;70.25;5;
82890;30/01/2000;1200;0;;19.9;;;;;;
82890;31/01/2000;0000;;32.4;;9.2;6.5;25.3;69;3.733333;
82890;31/01/2000;1200;0;;19.4;;;;;;
82890;01/02/2000;0000;;33.6;;9.2;8;25.54;71;4.1;
82890;01/02/2000;1200;0;;19.6;;;;;;
82890;02/02/2000;0000;;34.4;;7.4;5.8;26.34;75;3.133333;
82890;02/02/2000;1200;0;;20;;;;;;
82890;03/02/2000;0000;;33.4;;6.7;6.4;27.58;61;4.333333;
82890;03/02/2000;1200;0;;21.6;;;;;;
82890;04/02/2000;0000;;29.8;;1.2;7.1;25.24;76.5;2.766667;
82890;04/02/2000;1200;0;;21.7;;;;;;
82890;05/02/2000;0000;;33.4;;10.3;7.1;26.58;65.5;3.933333;
82890;05/02/2000;1200;0;;21.2;;;;;;
82890;06/02/2000;0000;;33.4;;9.3;7.4;25.38;77;3.533333;
82890;06/02/2000;1200;0;;18;;;;;;
82890;07/02/2000;0000;;33.2;;10.6;6.8;26.1;81.5;3.633333;
82890;07/02/2000;1200;0;;20;;;;;;
82890;08/02/2000;0000;;33.4;;6.6;8.4;25.06;80.25;3.233333;
82890;08/02/2000;1200;0;;20.1;;;;;;
82890;09/02/2000;0000;;33.4;;10.8;5.9;25.3;70;4.2;
82890;09/02/2000;1200;0.6;;19.4;;;;;;
82890;10/02/2000;0000;;31.4;;6.2;6.8;24.74;73.5;4.533333;
82890;10/02/2000;1200;0;;20.2;;;;;;
82890;11/02/2000;0000;;31.6;;9.4;7.5;25.02;73.5;4.066667;
82890;11/02/2000;1200;0;;19.6;;;;;;
82890;12/02/2000;0000;;32.6;;11.1;7;24.7;68.75;4.533333;
82890;12/02/2000;1200;0;;17.4;;;;;;
82890;13/02/2000;0000;;32;;6.8;7.6;25.06;84.25;3.033333;
82890;13/02/2000;1200;0;;20;;;;;;
82890;14/02/2000;0000;;27.4;;2.9;5;23.14;82.75;3.666667;
82890;14/02/2000;1200;9;;19;;;;;;
82890;15/02/2000;0000;;27;;2.6;3.5;22.78;91.5;2.866667;
82890;15/02/2000;1200;0.9;;19.2;;;;;;
82890;16/02/2000;0000;;29.8;;3.1;1.7;23;94.75;1.4;
82890;16/02/2000;1200;1.7;;19.7;;;;;;
82890;17/02/2000;0000;;29.4;;6.3;1.5;22.42;91.75;2.2;
82890;17/02/2000;1200;22.8;;18.4;;;;;;
82890;18/02/2000;0000;;30;;10.2;2.1;24.02;81.25;2.933333;
82890;18/02/2000;1200;1.3;;19.2;;;;;;
82890;19/02/2000;0000;;30.2;;9.6;4.7;23.46;83.5;2.5;
82890;19/02/2000;1200;0;;18.6;;;;;;
82890;20/02/2000;0000;;28;;5;3.5;23.66;85;2.55;
82890;20/02/2000;1200;0.1;;19.4;;;;;;
82890;21/02/2000;0000;;28.8;;8.8;2.8;23.5;87;2.3;
82890;21/02/2000;1200;0.5;;19;;;;;;
82890;22/02/2000;0000;;29.6;;8.9;3.7;23.42;84.5;3.3;
82890;22/02/2000;1200;14.6;;19.2;;;;;;
82890;23/02/2000;0000;;29.2;;4.6;3;23.46;93.25;2.866667;
82890;23/02/2000;1200;0.3;;20.2;;;;;;
82890;24/02/2000;0000;;29.3;;9.6;1.7;24.04;83.75;3.333333;
82890;24/02/2000;1200;31.7;;19.4;;;;;;
82890;25/02/2000;0000;;29.2;;8.8;3.3;23.86;82;3.066667;
82890;25/02/2000;1200;0;;18.4;;;;;;
82890;26/02/2000;0000;;30.2;;9.8;4.9;23.86;84.5;4.166667;
82890;26/02/2000;1200;0;;17.2;;;;;;
82890;27/02/2000;0000;;30.2;;9.5;2.8;24.54;82.5;3.566667;
82890;27/02/2000;1200;0;;20;;;;;;
82890;28/02/2000;0000;;30;;8.2;7.5;24.14;77;4.066667;
82890;28/02/2000;1200;0;;18.8;;;;;;
82890;29/02/2000;0000;;29.2;;6.1;5.5;23.54;82.5;2.8;
82890;29/02/2000;1200;0;;18.4;;;;;;
82890;01/03/2000;0000;;30.6;;6.7;3.9;24.42;83.5;2.8;
82890;01/03/2000;1200;0.5;;19.6;;;;;;
82890;02/03/2000;0000;;30.6;;7.1;4.2;24.5;82.25;3.866667;
82890;02/03/2000;1200;0;;19.8;;;;;;
82890;03/03/2000;0000;;29.7;;4.3;4.5;23.8;79.5;3.3;
82890;03/03/2000;1200;0;;19.2;;;;;;
82890;04/03/2000;0000;;31.4;;7.4;4.2;24.22;87.75;3.066667;
82890;04/03/2000;1200;0;;20.6;;;;;;
