Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82797;01/01/2000;0000;;29.2;;9.2;6.9;24.06;78.75;3.933333;
82797;01/01/2000;1200;4.2;;19.5;;;;;;
82797;02/01/2000;0000;;31.2;;6.9;6.8;24.7;73.5;3.166667;
82797;02/01/2000;1200;0;;20.9;;;;;;
82797;03/01/2000;0000;;31.2;;6.1;6.5;25.24;74.75;4.9;
82797;03/01/2000;1200;0;;21.4;;;;;;
82797;04/01/2000;0000;;26.4;;0.8;5.2;23;89;3.033333;
82797;04/01/2000;1200;7.2;;20.6;;;;;;
82797;05/01/2000;0000;;29.2;;5.1;2.2;24;83;3.3;
82797;05/01/2000;1200;4.2;;21.2;;;;;;
82797;06/01/2000;0000;;29.8;;6.4;3.8;24;80.25;3.733333;
82797;06/01/2000;1200;0;;20.2;;;;;;
82797;07/01/2000;0000;;26.2;;2.1;4.4;22.88;88.75;3.866667;
82797;07/01/2000;1200;6.1;;20.5;;;;;;
82797;08/01/2000;0000;;27.2;;4.5;2;23.66;88.5;4.233333;
82797;08/01/2000;1200;4.7;;21.4;;;;;;
82797;09/01/2000;0000;;29.4;;5.8;1.8;24.16;84.75;4.033333;
82797;09/01/2000;1200;12;;20.8;;;;;;
82797;10/01/2000;0000;;29.6;;7;2.9;24.4;76.5;3.5;
82797;10/01/2000;1200;0.4;;20.9;;;;;;
82797;11/01/2000;0000;;29.4;;11.4;5.7;23.9;77.5;3.4;
82797;11/01/2000;1200;0;;18.8;;;;;;
82797;12/01/2000;0000;;29.6;;9.6;5.8;24.18;77.75;3.133333;
82797;12/01/2000;1200;0;;19.8;;;;;;
82797;13/01/2000;0000;;31;;9.3;4.1;24.34;79.25;3.666667;
82797;13/01/2000;1200;0;;19.7;;;;;;
82797;14/01/2000;0000;;31.4;;7.5;6.9;25.08;75.5;3.233333;
82797;14/01/2000;1200;0;;21.2;;;;;;
82797;15/01/2000;0000;;28.2;;6.7;5;23.34;85.5;2.166667;
82797;15/01/2000;1200;16.6;;20.7;;;;;;
82797;16/01/2000;0000;;30.8;;10.4;8.2;24.32;79;2.333333;
82797;16/01/2000;1200;0.2;;19.8;;;;;;
82797;17/01/2000;0000;;30.8;;6.8;4.2;25;83;4.1;
82797;17/01/2000;1200;0;;21.8;;;;;;
82797;18/01/2000;0000;;29.8;;9.5;4.8;24.9;80.75;3.666667;
82797;18/01/2000;1200;1.5;;21.8;;;;;;
82797;19/01/2000;0000;;30.8;;10.5;5.8;25.46;74.25;3.566667;
82797;19/01/2000;1200;0;;22.1;;;;;;
82797;20/01/2000;0000;;29.8;;11.2;5.6;24.56;73;3.1;
82797;20/01/2000;1200;0;;20.1;;;;;;
82797;21/01/2000;0000;;31.8;;6.8;6;25.44;72.75;2.866667;
82797;21/01/2000;1200;0;;21;;;;;;
82797;22/01/2000;0000;;31.8;;8.2;0.4;25.56;75.5;3.266667;
82797;22/01/2000;1200;0;;21.3;;;;;;
82797;23/01/2000;0000;;31.4;;9.2;7.1;25.38;76;3.3;
82797;23/01/2000;1200;0;;21.8;;;;;;
82797;24/01/2000;0000;;31.6;;9;6.9;25.58;70.5;3.2;
82797;24/01/2000;1200;0;;21.6;;;;;;
82797;25/01/2000;0000;;32.2;;10.8;7.2;25.64;72.25;2.866667;
82797;25/01/2000;1200;0;;20.8;;;;;;
82797;26/01/2000;0000;;32.2;;10.2;7.9;25.68;72.75;3.666667;
82797;26/01/2000;1200;0;;21.2;;;;;;
82797;27/01/2000;0000;;32.2;;6.5;8.7;25.72;72.5;3.2;
82797;27/01/2000;1200;0;;21.2;;;;;;
82797;28/01/2000;0000;;33;;10.7;7;25.44;73.5;3.4;
82797;28/01/2000;1200;0;;19;;;;;;
82797;29/01/2000;0000;;32.8;;11.1;6;25.94;72;2.933333;
82797;29/01/2000;1200;0;;21;;;;;;
82797;30/01/2000;0000;;32.2;;8.4;10.2;26.28;70.5;3.233333;
82797;30/01/2000;1200;0;;22.2;;;;;;
82797;31/01/2000;0000;;32.4;;8.2;9.8;26;64.25;3.833333;
82797;31/01/2000;1200;0;;21.8;;;;;;
82797;01/02/2000;0000;;;;;9.6;;;4.15;
82797;01/02/2000;1200;0;;;;;;;;
82797;02/02/2000;0000;;;;;10.5;;;3.05;
82797;02/02/2000;1200;0;;;;;;;;
82797;03/02/2000;0000;;;;;8.5;;;5.3;
82797;03/02/2000;1200;0;;;;;;;;
82797;04/02/2000;0000;;;;;7.5;;;4.55;
82797;04/02/2000;1200;0;;;;;;;;
82797;05/02/2000;0000;;;;;8;;;5.5;
82797;05/02/2000;1200;0;;;;;;;;
82797;06/02/2000;0000;;;;;8.5;;;5.4;
82797;06/02/2000;1200;0;;;;;;;;
82797;07/02/2000;0000;;;;;8.5;;;3.9;
82797;07/02/2000;1200;0;;;;;;;;
82797;08/02/2000;0000;;;;;8.3;;;5.1;
82797;08/02/2000;1200;2;;;;;;;;
82797;09/02/2000;0000;;;;;6.7;;;5.65;
82797;09/02/2000;1200;0;;;;;;;;
82797;10/02/2000;0000;;;;;7.5;;;2.3;
82797;10/02/2000;1200;2.2;;;;;;;;
82797;11/02/2000;0000;;;;;1.5;;;5.8;
82797;11/02/2000;1200;1.7;;;;;;;;
82797;12/02/2000;0000;;;;;7;;;5.2;
82797;12/02/2000;1200;0;;;;;;;;
82797;13/02/2000;0000;;;;;9;;;5.6;
82797;13/02/2000;1200;0;;;;;;;;
82797;14/02/2000;0000;;;;;6;;;3.9;
82797;14/02/2000;1200;0;;;;;;;;
82797;15/02/2000;0000;;;;;2;;;4;
82797;15/02/2000;1200;10;;;;;;;;
82797;16/02/2000;0000;;;;;3.2;;;2.6;
82797;16/02/2000;1200;34.4;;;;;;;;
82797;17/02/2000;0000;;;;;2.1;;;4.8;
82797;17/02/2000;1200;0;;;;;;;;
82797;18/02/2000;0000;;;;;4;;;4.5;
82797;18/02/2000;1200;3.9;;;;;;;;
82797;19/02/2000;0000;;;;;6.3;;;3.7;
82797;19/02/2000;1200;0;;;;;;;;
82797;20/02/2000;0000;;;;;5.4;;;3.3;
82797;20/02/2000;1200;0;;;;;;;;
82797;21/02/2000;0000;;;;;2.5;;;3.05;
82797;21/02/2000;1200;0;;;;;;;;
82797;22/02/2000;0000;;;;;3.5;;;3.75;
82797;22/02/2000;1200;0;;;;;;;;
82797;23/02/2000;0000;;;;;4;;;3.3;
82797;23/02/2000;1200;10;;;;;;;;
82797;24/02/2000;0000;;;;;3;;;4.15;
82797;24/02/2000;1200;5;;;;;;;;
82797;25/02/2000;0000;;;;;3.5;;;5.05;
82797;25/02/2000;1200;0;;;;;;;;
82797;26/02/2000;0000;;;;;5.5;;;6.9;
82797;26/02/2000;1200;0;;;;;;;;
82797;27/02/2000;0000;;;;;2;;;5.55;
82797;27/02/2000;1200;7.8;;;;;;;;
82797;28/02/2000;0000;;;;;4;;;4.8;
82797;28/02/2000;1200;0;;;;;;;;
82797;29/02/2000;0000;;;;;4.5;;;4.15;
82797;29/02/2000;1200;0;;;;;;;;
82797;01/03/2000;0000;;;;9.4;5.5;;;5.3;
82797;01/03/2000;1200;9.6;;;;;;;;
82797;02/03/2000;0000;;31.3;;7;4.3;25.48;74.75;4.166667;
82797;02/03/2000;1200;0.8;;21.3;;;;;;
82797;03/03/2000;0000;;31.2;;4.9;5.2;25.08;76.5;3.766667;
82797;03/03/2000;1200;0;;20.6;;;;;;
82797;04/03/2000;0000;;32;;9.8;4;25.32;73;4.933333;
82797;04/03/2000;1200;0;;20.9;;;;;;
82797;05/03/2000;0000;;32.5;;9.6;4.5;25.72;71.25;5.633333;
82797;05/03/2000;1200;2.1;;21.2;;;;;;
82797;06/03/2000;0000;;32.2;;9;7;25.72;72.75;4.633333;
82797;06/03/2000;1200;0.2;;20.8;;;;;;
82797;07/03/2000;0000;;30.8;;5;6.2;25.7;73.25;4.433333;
82797;07/03/2000;1200;0.4;;22.1;;;;;;
82797;08/03/2000;0000;;31.4;;9.2;4;25.74;65.75;3.733333;
82797;08/03/2000;1200;0;;21.4;;;;;;
82797;09/03/2000;0000;;31.4;;5.6;5.6;25.42;71.5;3.466667;
82797;09/03/2000;1200;0;;22.5;;;;;;
82797;10/03/2000;0000;;28.6;;6;3.2;25;78;4.533333;
82797;10/03/2000;1200;0;;21.8;;;;;;
82797;11/03/2000;0000;;30.8;;9.9;3.8;25.7;69.75;4.9;
82797;11/03/2000;1200;0;;21.8;;;;;;
82797;12/03/2000;0000;;33.2;;10;5.6;25.58;68.75;3.933333;
82797;12/03/2000;1200;0;;20.3;;;;;;
82797;13/03/2000;0000;;33.2;;6.8;6.1;26.46;67.5;4.666667;
82797;13/03/2000;1200;0;;20.8;;;;;;
82797;14/03/2000;0000;;32.8;;8.1;5.1;26.4;75.25;3.3;
82797;14/03/2000;1200;0;;22;;;;;;
82797;15/03/2000;0000;;32.8;;9.8;5.4;26.36;66.5;4.966667;
82797;15/03/2000;1200;0;;22.1;;;;;;
82797;16/03/2000;0000;;30;;8.5;3.8;25.5;66;3.566667;
82797;16/03/2000;1200;0;;21.4;;;;;;
82797;17/03/2000;0000;;32.1;;10.3;7.5;25.58;66;4.1;
82797;17/03/2000;1200;0;;19.5;;;;;;
82797;18/03/2000;0000;;31.4;;8.2;7.5;25.98;69;4.133333;
82797;18/03/2000;1200;0;;22.2;;;;;;
82797;19/03/2000;0000;;33.1;;8.9;4;26;67;3.566667;
82797;19/03/2000;1200;0;;21.5;;;;;;
82797;20/03/2000;0000;;31;;8.4;6;25.86;68.5;5.233333;
82797;20/03/2000;1200;0;;21.9;;;;;;
82797;21/03/2000;0000;;31;;8.8;6.2;24.72;69.75;3.566667;
82797;21/03/2000;1200;1;;19;;;;;;
82797;22/03/2000;0000;;32.9;;10.5;5.3;25.4;61.5;4.166667;
82797;22/03/2000;1200;0;;18.1;;;;;;
82797;23/03/2000;0000;;32.6;;9;6.9;25.58;67.25;3.3;
82797;23/03/2000;1200;0;;19.1;;;;;;
82797;24/03/2000;0000;;30.5;;7;6.6;25.14;76.5;4.4;
82797;24/03/2000;1200;0;;20.3;;;;;;
82797;25/03/2000;0000;;31.8;;8.8;3.5;25.14;79;4.7;
82797;25/03/2000;1200;0;;20.6;;;;;;
82797;26/03/2000;0000;;33.8;;10.8;4.7;26.14;70.25;4.066667;
82797;26/03/2000;1200;1;;;;;;;;
82797;27/03/2000;0000;;32.6;;6.9;6.8;26.4;70.5;6.1;
82797;27/03/2000;1200;0;;22.1;;;;;;
82797;28/03/2000;0000;;32.2;;8.1;4.6;26.1;69.5;3.566667;
82797;28/03/2000;1200;0;;21.8;;;;;;
82797;29/03/2000;0000;;30.2;;7.3;5.4;25.18;75.5;4.933333;
82797;29/03/2000;1200;8.4;;;;;;;;
82797;30/03/2000;0000;;29.6;;4.4;3.4;24.34;82.5;3.2;
82797;30/03/2000;1200;0;;21;;;;;;
82797;31/03/2000;0000;;28.2;;6.1;2.6;24.48;78;3.633333;
82797;31/03/2000;1200;6;;20.5;;;;;;
82797;01/04/2000;0000;;30.4;;5.3;3.5;25.48;85;3.6;
82797;01/04/2000;1200;0;;22.1;;;;;;
82797;02/04/2000;0000;;32.6;;10.8;17;25.48;74.5;3.866667;
82797;02/04/2000;1200;18.5;;22.1;;;;;;
82797;03/04/2000;0000;;30;;9.2;3.8;25.1;72.75;4.833333;
82797;03/04/2000;1200;0;;20.1;;;;;;
82797;04/04/2000;0000;;31;;7.7;5.2;25.24;76.5;4.3;
82797;04/04/2000;1200;0.9;;20.4;;;;;;
82797;05/04/2000;0000;;31.8;;10.3;4.3;25.24;71.25;5.4;
82797;05/04/2000;1200;0;;18.9;;;;;;
82797;06/04/2000;0000;;30.8;;10.4;7.2;25;79;3.666667;
82797;06/04/2000;1200;5.1;;20.1;;;;;;
