Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82789;01/01/2000;0000;;27.8;;11.4;4.6;22.6;64.5;1.6;
82789;01/01/2000;1200;0;;18;;;;;;
82789;02/01/2000;0000;;28.8;;10.8;2.3;23.42;61.25;2.166667;
82789;02/01/2000;1200;0;;18.1;;;;;;
82789;03/01/2000;0000;;27.8;;6.5;1.6;23.16;70.75;1.6;
82789;03/01/2000;1200;0;;18.5;;;;;;
82789;04/01/2000;0000;;26;;4.9;1;20.28;78.5;2.733333;
82789;04/01/2000;1200;0;;18.6;;;;;;
82789;05/01/2000;0000;;26.7;;9.8;0.6;21.44;68.75;2.766667;
82789;05/01/2000;1200;38;;18.1;;;;;;
82789;06/01/2000;0000;;25.1;;1.7;0.4;21.48;69.5;3.033333;
82789;06/01/2000;1200;0;;19;;;;;;
82789;07/01/2000;0000;;23;;0.1;0.8;19.8;84;2.2;
82789;07/01/2000;1200;31.4;;18.6;;;;;;
82789;08/01/2000;0000;;26.7;;7.2;0.2;20.9;76;3.3;
82789;08/01/2000;1200;3;;19;;;;;;
82789;09/01/2000;0000;;23.9;;1;0.8;19.62;83;3.3;
82789;09/01/2000;1200;15;;17.8;;;;;;
82789;10/01/2000;0000;;25.6;;9.1;0.2;21.18;64;2.433333;
82789;10/01/2000;1200;64.8;;17.7;;;;;;
82789;11/01/2000;0000;;26.6;;9.6;1;21.36;53.75;2.466667;
82789;11/01/2000;1200;0;;16.4;;;;;;
82789;12/01/2000;0000;;27.5;;8.7;1;22.34;63.25;3;
82789;12/01/2000;1200;0;;18.4;;;;;;
82789;13/01/2000;0000;;26.3;;6.5;1;21.98;66;2.166667;
82789;13/01/2000;1200;0;;18.4;;;;;;
82789;14/01/2000;0000;;25.8;;4.9;0.3;21.52;72.5;3.033333;
82789;14/01/2000;1200;0;;19.1;;;;;;
82789;15/01/2000;0000;;22.6;;0;0.7;20.36;79.25;2.2;
82789;15/01/2000;1200;0;;18.7;;;;;;
82789;16/01/2000;0000;;28.1;;9.5;1.5;21.9;65.75;2.466667;
82789;16/01/2000;1200;0.4;;18.4;;;;;;
82789;17/01/2000;0000;;28.4;;9.4;0.5;22.92;64.25;2.733333;
82789;17/01/2000;1200;0;;18.7;;;;;;
82789;18/01/2000;0000;;28.6;;10.5;1.1;22.88;67.25;2.733333;
82789;18/01/2000;1200;0;;18.7;;;;;;
82789;19/01/2000;0000;;27.1;;6.7;1.6;22.36;76.75;3.866667;
82789;19/01/2000;1200;0;;19.5;;;;;;
82789;20/01/2000;0000;;27.7;;10;1.1;22.98;64.25;4.133333;
82789;20/01/2000;1200;0;;19.4;;;;;;
82789;21/01/2000;0000;;26;;7.1;3.5;21.1;78;2.466667;
82789;21/01/2000;1200;0;;19.4;;;;;;
82789;22/01/2000;0000;;25.5;;3.6;2.4;21.66;80;2.733333;
82789;22/01/2000;1200;0;;19.9;;;;;;
82789;23/01/2000;0000;;28.5;;7.2;1.6;22.86;67;2.2;
82789;23/01/2000;1200;0;;19.7;;;;;;
82789;24/01/2000;0000;;28;;9;3.1;22.48;69;3.3;
82789;24/01/2000;1200;0;;19;;;;;;
82789;25/01/2000;0000;;29.3;;9.2;2.9;23.18;61.25;2.466667;
82789;25/01/2000;1200;0;;19.7;;;;;;
82789;26/01/2000;0000;;29.8;;9.8;3.3;23.66;58.25;3;
82789;26/01/2000;1200;0;;19.7;;;;;;
82789;27/01/2000;0000;;30.2;;9;3.9;24.3;49.25;1.633333;
82789;27/01/2000;1200;0;;19;;;;;;
82789;28/01/2000;0000;;31;;9.4;4.5;25.18;46;1.9;
82789;28/01/2000;1200;0;;19.1;;;;;;
82789;29/01/2000;0000;;30.7;;10;4.1;24.58;49.75;3.866667;
82789;29/01/2000;1200;0;;19.7;;;;;;
82789;30/01/2000;0000;;29;;9.4;5.5;23.72;54.5;2.166667;
82789;30/01/2000;1200;0;;18.5;;;;;;
82789;31/01/2000;0000;;29.5;;9.1;5;24.02;52.75;3.033333;
82789;31/01/2000;1200;0;;19.1;;;;;;
82789;01/02/2000;0000;;30.6;;10.1;5.2;24.6;54;1.9;
82789;01/02/2000;1200;0;;19.2;;;;;;
82789;02/02/2000;0000;;28.8;;4.8;4.3;23.44;64.5;2.166667;
82789;02/02/2000;1200;0;;18.8;;;;;;
82789;03/02/2000;0000;;27.2;;10;2.5;22.4;72.25;3.3;
